0 ~Minifig Hair with Ponytail and Baseball Cap - Cap Half
3 16 3.85 3.6225 -26.4275 3.7125 3.87 -19.285 6.3025 4.665 -25.3225
3 16 8.0325 -8.0713 2.1125 7.3425 -7.895 4.6275 5.6225 -9.2888 3.0663
3 16 5.2275 -9.0575 4.8825 5.6225 -9.2888 3.0663 7.3425 -7.895 4.6275
3 16 5.2275 -9.0575 4.8825 7.3425 -7.895 4.6275 6.695 -7.4425 6.75
3 16 4.79 -8.665 6.4 5.2275 -9.0575 4.8825 6.695 -7.4425 6.75
3 16 6.695 -7.4425 6.75 7.3425 -7.895 4.6275 8.8025 -5.74 7.0475
3 16 9.63 -6.22 4.3225 8.8025 -5.74 7.0475 7.3425 -7.895 4.6275
3 16 9.63 -6.22 4.3225 7.3425 -7.895 4.6275 8.0325 -8.0713 2.1125
3 16 10.15 -6.46 2.1775 9.63 -6.22 4.3225 8.0325 -8.0713 2.1125
3 16 5.645 1.82 -22.7825 5.3325 1.6075 -22.265 3.6275 1.02 -23.3
3 16 3.7275 1.115 -23.8625 5.645 1.82 -22.7825 3.6275 1.02 -23.3
3 16 6.7825 2.185 -20.8675 5.3325 1.6075 -22.265 5.645 1.82 -22.7825
3 16 7.3425 2.5475 -21.32 6.7825 2.185 -20.8675 5.645 1.82 -22.7825
3 16 7.435 7.4475 13.915 5.8283 7.6642 15.2467 6.7688 7.265 15.4775
3 16 6.7688 7.265 15.4775 6.89 5.5525 15.1275 8.545 5.6025 13.9225
3 16 8.9925 7.365 13.945 6.7688 7.265 15.4775 8.545 5.6025 13.9225
4 16 8.545 5.6025 13.9225 6.89 5.5525 15.1275 6.5575 3.775 15.0225 8.13 3.6225 13.845
3 16 6.5575 3.775 15.0225 6.89 5.5525 15.1275 5.6775 5.3225 15.905
3 16 5.4425 3.7075 15.435 6.5575 3.775 15.0225 5.6775 5.3225 15.905
4 16 10.2317 -6.6908 -3.3033 7.855 -8.2817 -1.0733 7.7275 -8.68 -1.7475 10.1975 -7.0275 -4.05
3 16 7.7275 -8.68 -1.7475 7.855 -8.2817 -1.0733 5.5267 -9.3542 0.9117
3 16 5.235 -9.765 0.4475 7.7275 -8.68 -1.7475 5.5267 -9.3542 0.9117
3 16 8.945 0.7175 -12.255 9.1875 -2.0825 -10.3975 6.6675 -0.525 -12.475
4 16 0 2.8725 -27.0375 1.82 3.04 -26.94 1.91 2.085 -27.15 0 1.89 -27.2575
4 16 1.91 2.085 -27.15 1.82 3.04 -26.94 3.85 3.6225 -26.4275 4.035 2.705 -26.6075
3 16 5.2275 -9.0575 4.8825 3.5175 -9.5556 5.6413 3.6406 -9.9906 4.0169
3 16 5.6225 -9.2888 3.0663 5.2275 -9.0575 4.8825 3.6406 -9.9906 4.0169
3 16 4.79 -8.665 6.4 3.5175 -9.5556 5.6413 5.2275 -9.0575 4.8825
3 16 6.56 -5.3025 10.1208 5.1875 -6.9133 9.2642 5.6225 -7.1225 8.7775
3 16 7.2625 -5.3975 9.68 6.56 -5.3025 10.1208 5.6225 -7.1225 8.7775
3 16 5.6225 -7.1225 8.7775 5.1875 -6.9133 9.2642 3.6925 -8.1667 8.0725
3 16 4.1 -8.3975 7.675 5.6225 -7.1225 8.7775 3.6925 -8.1667 8.0725
3 16 3.6925 -8.1667 8.0725 5.1875 -6.9133 9.2642 4.8125 -6.9875 9.7925
3 16 3.3425 -8.22 8.5775 3.6925 -8.1667 8.0725 4.8125 -6.9875 9.7925
3 16 4.8125 -6.9875 9.7925 5.1875 -6.9133 9.2642 6.56 -5.3025 10.1208
3 16 6.285 -5.2625 10.8025 4.8125 -6.9875 9.7925 6.56 -5.3025 10.1208
3 16 3.85 3.6225 -26.4275 6.3025 4.665 -25.3225 6.5975 3.7825 -25.415
3 16 4.035 2.705 -26.6075 3.85 3.6225 -26.4275 6.5975 3.7825 -25.415
3 16 6.5975 3.7825 -25.415 6.3025 4.665 -25.3225 8.685 5.8225 -23.5625
3 16 9.04 4.9625 -23.56 6.5975 3.7825 -25.415 8.685 5.8225 -23.5625
3 16 13.56 0.845 -7.155 13.8875 0.6525 -3.4975 13.005 -2.075 -5.935
3 16 13.19 -2.09 -2.555 13.005 -2.075 -5.935 13.8875 0.6525 -3.4975
3 16 13.19 -2.09 -2.555 13.8875 0.6525 -3.4975 14.01 0.595 0.0075
3 16 13.18 -2.01 0.67 13.19 -2.09 -2.555 14.01 0.595 0.0075
3 16 13.8875 0.6525 -3.4975 14.255 2.9675 -4.27 14.5725 3.2225 -0.57
3 16 14.5725 3.2225 -0.57 14.01 0.595 0.0075 13.8875 0.6525 -3.4975
3 16 6.3742 2.11 -20.5567 5.0808 1.6183 -21.8125 5.3325 1.6075 -22.265
3 16 6.7825 2.185 -20.8675 6.3742 2.11 -20.5567 5.3325 1.6075 -22.265
3 16 5.3325 1.6075 -22.265 5.0808 1.6183 -21.8125 3.5242 1.0992 -22.7258
3 16 3.6275 1.02 -23.3 5.3325 1.6075 -22.265 3.5242 1.0992 -22.7258
3 16 11.6075 -4.88 -5.8525 11.6892 -4.6058 -5.1092 10.2317 -6.6908 -3.3033
3 16 10.1975 -7.0275 -4.05 11.6075 -4.88 -5.8525 10.2317 -6.6908 -3.3033
3 16 12.5633 -2.0583 -6.5717 11.6892 -4.6058 -5.1092 11.6075 -4.88 -5.8525
3 16 12.385 -2.26 -7.2925 12.5633 -2.0583 -6.5717 11.6075 -4.88 -5.8525
3 16 13.8938 6.6513 -9.2263 13.37 7.02 -11.1575 11.3167 6.495 -10.9263
3 16 12.935 7.3075 -13.07 11.3167 6.495 -10.9263 13.37 7.02 -11.1575
3 16 12.935 7.3075 -13.07 13.37 7.02 -11.1575 13.24 6.295 -13.18
3 16 13.5825 5.9575 -11.3575 13.24 6.295 -13.18 13.37 7.02 -11.1575
3 16 2.2358 -10.1112 3.7046 3.6406 -9.9906 4.0169 2.42 -9.865 4.562
3 16 3.7333 1.3158 -24.3517 5.7567 2.1133 -23.2167 5.645 1.82 -22.7825
3 16 3.7275 1.115 -23.8625 3.7333 1.3158 -24.3517 5.645 1.82 -22.7825
3 16 5.645 1.82 -22.7825 5.7567 2.1133 -23.2167 7.5725 2.9333 -21.6508
3 16 7.3425 2.5475 -21.32 5.645 1.82 -22.7825 7.5725 2.9333 -21.6508
3 16 3.7333 1.3158 -24.3517 1.8367 0.8125 -24.9083 1.8675 0.73 -25.535
3 16 3.8275 1.2675 -24.9375 3.7333 1.3158 -24.3517 1.8675 0.73 -25.535
4 16 1.8675 0.73 -25.535 1.8367 0.8125 -24.9083 0 0.635 -25.0733 0 0.55 -25.7075
3 16 10.43 1.3625 10.8 9.7025 1.395 11.285 8.8908 -1.0442 11.0758
3 16 9.6525 -1.0725 10.62 10.43 1.3625 10.8 8.8908 -1.0442 11.0758
4 16 8.8908 -1.0442 11.0758 9.7025 1.395 11.285 9.3875 1.4425 12.0225 8.565 -1.0675 11.7875
4 16 9.3875 1.4425 12.0225 9.7025 1.395 11.285 10.2733 3.6767 11.3533 9.95 3.665 12.0725
4 16 10.2733 3.6767 11.3533 9.7025 1.395 11.285 10.43 1.3625 10.8 11.005 3.6725 10.8725
3 16 4.22 -5.0338 12.2463 4.8938 -2.98 13.3113 0 -2.78 14.665
3 16 0 -4.745 13.345 4.22 -5.0338 12.2463 0 -2.78 14.665
4 16 0 -2.78 14.665 4.8938 -2.98 13.3113 5.2288 -1.1525 14.1575 0 -1.01 15.5875
3 16 9.1923 5.65 -9.1923 10.9975 6.0625 -8.4625 11.3167 6.495 -10.9263
3 16 13.8938 6.6513 -9.2263 11.3167 6.495 -10.9263 10.9975 6.0625 -8.4625
3 16 7.9517 2.5533 -17.4467 8.4167 2.4625 -15.7108 8.07 2.125 -15.695
3 16 7.64 2.1825 -17.34 7.9517 2.5533 -17.4467 8.07 2.125 -15.695
3 16 8.07 2.125 -15.695 8.4167 2.4625 -15.7108 8.7908 2.2575 -14.1592
3 16 8.7908 2.2575 -14.1592 8.4167 2.4625 -15.7108 8.9825 2.71 -15.715
3 16 8.9825 2.71 -15.715 8.4167 2.4625 -15.7108 7.9517 2.5533 -17.4467
3 16 8.515 2.7725 -17.52 8.9825 2.71 -15.715 7.9517 2.5533 -17.4467
3 16 12.5633 -2.0583 -6.5717 13.1917 0.915 -7.7717 13.56 0.845 -7.155
3 16 13.005 -2.075 -5.935 12.5633 -2.0583 -6.5717 13.56 0.845 -7.155
3 16 2.2358 -10.1112 3.7046 3.3325 -10.24 2.685 3.6406 -9.9906 4.0169
3 16 7.5725 2.9333 -21.6508 8.8467 3.5075 -19.8017 8.56 3.09 -19.61
3 16 7.3425 2.5475 -21.32 7.5725 2.9333 -21.6508 8.56 3.09 -19.61
4 16 8.56 3.09 -19.61 8.8467 3.5075 -19.8017 9.7217 3.7958 -17.7525 9.41 3.3925 -17.71
4 16 2.42 -9.865 4.562 3.6406 -9.9906 4.0169 3.5175 -9.5556 5.6413 2.2358 -9.6188 5.465
3 16 10.15 -6.46 2.1775 8.0325 -8.0713 2.1125 10.575 -6.5325 -0.1775
4 16 8.0625 -8.395 -0.2325 8.0325 -8.0713 2.1125 5.6225 -9.2888 3.0663 5.61 -9.5 1.7225
3 16 8.0325 -8.0713 2.1125 8.0625 -8.395 -0.2325 10.575 -6.5325 -0.1775
3 16 10.5 -6.7675 -2.5075 10.575 -6.5325 -0.1775 8.0625 -8.395 -0.2325
3 16 14.345 3.23 2.9 14.8 5.2575 2.685 14.175 5.6025 6.93
3 16 13.645 3.595 6.975 14.345 3.23 2.9 14.175 5.6025 6.93
3 16 14.175 5.6025 6.93 14.8 5.2575 2.685 15.1675 7.09 2.5225
3 16 14.475 7.4425 6.865 14.175 5.6025 6.93 15.1675 7.09 2.5225
4 16 14.9425 5.145 -0.8175 15.1675 7.09 2.5225 14.8 5.2575 2.685 14.5725 3.2225 -0.57
3 16 15.235 6.83 -1.0325 15.1675 7.09 2.5225 14.9425 5.145 -0.8175
3 16 14.8 5.2575 2.685 14.345 3.23 2.9 14.5725 3.2225 -0.57
3 16 3.5242 1.0992 -22.7258 5.0808 1.6183 -21.8125 4.9225 1.335 -21.435
3 16 3.4675 0.87 -22.285 3.5242 1.0992 -22.7258 4.9225 1.335 -21.435
4 16 4.9225 1.335 -21.435 5.0808 1.6183 -21.8125 6.3742 2.11 -20.5567 6.1125 1.7775 -20.2625
3 16 12.695 5.7675 -15.5125 12.7775 6.5275 -15.5425 13.24 6.295 -13.18
3 16 13.0825 5.5575 -13.335 12.695 5.7675 -15.5125 13.24 6.295 -13.18
3 16 12.0225 6.4625 -18.23 12.7775 6.5275 -15.5425 12.695 5.7675 -15.5125
3 16 12.0025 5.725 -18.1475 12.0225 6.4625 -18.23 12.695 5.7675 -15.5125
3 16 3.3325 -10.24 2.685 4.2125 -9.8892 1.9875 3.9925 -10.0575 2.655
3 16 3.9925 -10.0575 2.655 4.2125 -9.8892 1.9875 5.5267 -9.3542 0.9117
3 16 5.61 -9.5 1.7225 3.9925 -10.0575 2.655 5.5267 -9.3542 0.9117
3 16 7.9517 2.5533 -17.4467 7.3008 2.4292 -19.0817 7.8125 2.585 -19.2625
3 16 8.515 2.7725 -17.52 7.9517 2.5533 -17.4467 7.8125 2.585 -19.2625
3 16 7.8125 2.585 -19.2625 7.3008 2.4292 -19.0817 6.3742 2.11 -20.5567
3 16 6.7825 2.185 -20.8675 7.8125 2.585 -19.2625 6.3742 2.11 -20.5567
4 16 3.7675 0.4125 -18.015 6.23 1.5438 -18.2763 6.0925 0.8575 -14.63 4.09 0.06 -14.9975
3 16 8.7908 2.2575 -14.1592 6.0925 0.8575 -14.63 6.23 1.5438 -18.2763
3 16 6.23 1.5438 -18.2763 3.7675 0.4125 -18.015 4.9225 1.335 -21.435
3 16 10.2733 3.6767 11.3533 10.765 5.6308 11.3717 10.425 5.625 12.0975
3 16 9.95 3.665 12.0725 10.2733 3.6767 11.3533 10.425 5.625 12.0975
4 16 10.425 5.625 12.0975 10.765 5.6308 11.3717 11.1967 7.4158 11.38 10.84 7.4025 12.125
4 16 11.1967 7.4158 11.38 10.765 5.6308 11.3717 11.48 5.635 10.905 11.91 7.425 10.9025
4 16 11.48 5.635 10.905 10.765 5.6308 11.3717 10.2733 3.6767 11.3533 11.005 3.6725 10.8725
3 16 8.8908 -1.0442 11.0758 7.8625 -3.26 10.7133 8.61 -3.3475 10.2625
3 16 9.6525 -1.0725 10.62 8.8908 -1.0442 11.0758 8.61 -3.3475 10.2625
4 16 8.61 -3.3475 10.2625 7.8625 -3.26 10.7133 6.56 -5.3025 10.1208 7.2625 -5.3975 9.68
4 16 6.56 -5.3025 10.1208 7.8625 -3.26 10.7133 7.5925 -3.2175 11.4 6.285 -5.2625 10.8025
4 16 7.5925 -3.2175 11.4 7.8625 -3.26 10.7133 8.8908 -1.0442 11.0758 8.565 -1.0675 11.7875
3 16 10.2317 -6.6908 -3.3033 11.6892 -4.6058 -5.1092 12.065 -4.6375 -4.3975
3 16 10.5 -6.7675 -2.5075 10.2317 -6.6908 -3.3033 12.065 -4.6375 -4.3975
3 16 12.065 -4.6375 -4.3975 11.6892 -4.6058 -5.1092 12.5633 -2.0583 -6.5717
3 16 13.005 -2.075 -5.935 12.065 -4.6375 -4.3975 12.5633 -2.0583 -6.5717
3 16 8.07 2.125 -15.695 6.23 1.5438 -18.2763 7.64 2.1825 -17.34
4 16 7.0025 2.0625 -18.88 7.64 2.1825 -17.34 6.23 1.5438 -18.2763 6.1125 1.7775 -20.2625
3 16 4.9225 1.335 -21.435 6.1125 1.7775 -20.2625 6.23 1.5438 -18.2763
3 16 3.4675 0.87 -22.285 4.9225 1.335 -21.435 3.7675 0.4125 -18.015
3 16 8.7908 2.2575 -14.1592 6.23 1.5438 -18.2763 8.07 2.125 -15.695
4 16 5.6225 -9.2888 3.0663 3.6406 -9.9906 4.0169 3.9925 -10.0575 2.655 5.61 -9.5 1.7225
3 16 3.3325 -10.24 2.685 3.9925 -10.0575 2.655 3.6406 -9.9906 4.0169
3 16 11.9025 -4.41 1.3925 11.435 -4.12 3.965 10.15 -6.46 2.1775
3 16 9.63 -6.22 4.3225 10.15 -6.46 2.1775 11.435 -4.12 3.965
3 16 9.63 -6.22 4.3225 11.435 -4.12 3.965 10.5425 -3.67 7.1275
3 16 8.8025 -5.74 7.0475 9.63 -6.22 4.3225 10.5425 -3.67 7.1275
3 16 10.5425 -3.67 7.1275 11.435 -4.12 3.965 11.9175 -1.33 7.0925
3 16 12.785 -1.7325 3.585 11.9175 -1.33 7.0925 11.435 -4.12 3.965
3 16 12.785 -1.7325 3.585 11.435 -4.12 3.965 11.9025 -4.41 1.3925
3 16 13.18 -2.01 0.67 12.785 -1.7325 3.585 11.9025 -4.41 1.3925
3 16 0 0.5158 -23.2808 1.805 0.6958 -23.17 1.7925 0.5025 -22.6975
3 16 0 0.3475 -22.7975 0 0.5158 -23.2808 1.7925 0.5025 -22.6975
3 16 1.7925 0.5025 -22.6975 1.805 0.6958 -23.17 3.5242 1.0992 -22.7258
3 16 3.4675 0.87 -22.285 1.7925 0.5025 -22.6975 3.5242 1.0992 -22.7258
3 16 8.685 5.8225 -23.5625 10.0913 6.4213 -17.3813 10.5025 6.745 -21.0775
3 16 10.5025 6.745 -21.0775 10.0913 6.4213 -17.3813 11.5675 7.04 -14.6363
3 16 11.7675 7.3275 -18.265 10.5025 6.745 -21.0775 11.5675 7.04 -14.6363
3 16 11.3167 6.495 -10.9263 11.5675 7.04 -14.6363 8.3125 5.6175 -12.095
3 16 11.7675 7.3275 -18.265 11.5675 7.04 -14.6363 12.49 7.4625 -15.5175
4 16 12.49 7.4625 -15.5175 11.5675 7.04 -14.6363 11.3167 6.495 -10.9263 12.935 7.3075 -13.07
3 16 10.9975 6.0625 -8.4625 12.2475 6.34 -6.965 13.8938 6.6513 -9.2263
3 16 14.365 6.5425 -7.275 13.8938 6.6513 -9.2263 12.2475 6.34 -6.965
3 16 7.175 5.2225 -17.34 8.3125 5.6175 -12.095 8.685 5.8225 -23.5625
3 16 10.0913 6.4213 -17.3813 8.3125 5.6175 -12.095 11.5675 7.04 -14.6363
3 16 6.445 4.75 -11.1625 8.3125 5.6175 -12.095 7.175 5.2225 -17.34
3 16 10.0913 6.4213 -17.3813 8.685 5.8225 -23.5625 8.3125 5.6175 -12.095
3 16 14.01 0.595 0.0075 13.715 0.8075 3.215 13.18 -2.01 0.67
3 16 12.785 -1.7325 3.585 13.18 -2.01 0.67 13.715 0.8075 3.215
3 16 12.785 -1.7325 3.585 13.715 0.8075 3.215 12.9225 1.19 7.035
3 16 11.9175 -1.33 7.0925 12.785 -1.7325 3.585 12.9225 1.19 7.035
3 16 12.9225 1.19 7.035 13.715 0.8075 3.215 13.645 3.595 6.975
3 16 14.345 3.23 2.9 13.645 3.595 6.975 13.715 0.8075 3.215
3 16 14.345 3.23 2.9 13.715 0.8075 3.215 14.01 0.595 0.0075
3 16 14.5725 3.2225 -0.57 14.345 3.23 2.9 14.01 0.595 0.0075
3 16 6.685 2.89 -25.2375 5.9875 2.1475 -23.715 3.8275 1.2675 -24.9375
3 16 4.105 1.695 -26.4375 6.685 2.89 -25.2375 3.8275 1.2675 -24.9375
3 16 7.9425 3.065 -22.0225 5.9875 2.1475 -23.715 6.685 2.89 -25.2375
3 16 9.1225 4.2 -23.4025 7.9425 3.065 -22.0225 6.685 2.89 -25.2375
3 16 9.1923 5.65 -9.1923 11.3167 6.495 -10.9263 8.3125 5.6175 -12.095
3 16 6.445 4.75 -11.1625 9.1923 5.65 -9.1923 8.3125 5.6175 -12.095
3 16 2.5825 -9.35 6.71 1.692 -8.907 7.7075 1.7112 -9.4102 6.2762
3 16 3.2725 -10.57 -5.165 3.165 -10.5625 -2.825 0 -10.91 -3.315
3 16 0 -10.9775 -5.3625 3.2725 -10.57 -5.165 0 -10.91 -3.315
4 16 0 -10.91 -3.315 3.165 -10.5625 -2.825 2.8775 -10.5125 -0.4025 0 -10.845 -1.2
3 16 2.8775 -10.5125 -0.4025 3.165 -10.5625 -2.825 4.99 -10.105 -2.695
3 16 5.235 -9.765 0.4475 2.8775 -10.5125 -0.4025 4.99 -10.105 -2.695
4 16 4.99 -10.105 -2.695 3.165 -10.5625 -2.825 3.2725 -10.57 -5.165 5.2925 -10.0575 -5.0375
3 16 10.855 5.1725 -20.9075 10.8125 5.9 -21.035 12.0225 6.4625 -18.23
3 16 12.0025 5.725 -18.1475 10.855 5.1725 -20.9075 12.0225 6.4625 -18.23
3 16 9.04 4.9625 -23.56 10.8125 5.9 -21.035 10.855 5.1725 -20.9075
3 16 9.1225 4.2 -23.4025 9.04 4.9625 -23.56 10.855 5.1725 -20.9075
4 16 6.0925 0.8575 -14.63 6.4175 0.6225 -13.4575 4.235 -0.32 -13.62 4.09 0.06 -14.9975
3 16 4.235 -0.32 -13.62 6.4175 0.6225 -13.4575 6.6675 -0.525 -12.475
3 16 4.405 -1.5075 -12.72 4.235 -0.32 -13.62 6.6675 -0.525 -12.475
3 16 2.055 -0.48 -15.2 1.94 0 -18.49 3.7675 0.4125 -18.015
3 16 4.09 0.06 -14.9975 2.055 -0.48 -15.2 3.7675 0.4125 -18.015
4 16 3.7675 0.4125 -18.015 1.94 0 -18.49 1.7925 0.5025 -22.6975 3.4675 0.87 -22.285
4 16 1.7925 0.5025 -22.6975 1.94 0 -18.49 0 -0.1875 -18.5675 0 0.3475 -22.7975
4 16 0 -0.1875 -18.5675 1.94 0 -18.49 2.055 -0.48 -15.2 0 -0.685 -15.26
4 16 10.825 4.04 -15.655 10.195 4.04 -17.8475 12.695 5.7675 -15.5125 13.0825 5.5575 -13.335
3 16 12.0025 5.725 -18.1475 12.695 5.7675 -15.5125 10.195 4.04 -17.8475
3 16 10.905 3.5758 -13.8358 10.825 4.04 -15.655 13.0825 5.5575 -13.335
3 16 8.685 5.8225 -23.5625 10.5025 6.745 -21.0775 10.8125 5.9 -21.035
3 16 9.04 4.9625 -23.56 8.685 5.8225 -23.5625 10.8125 5.9 -21.035
3 16 10.8125 5.9 -21.035 10.5025 6.745 -21.0775 11.7675 7.3275 -18.265
3 16 12.0225 6.4625 -18.23 10.8125 5.9 -21.035 11.7675 7.3275 -18.265
3 16 2.2358 -9.6188 5.465 3.5175 -9.5556 5.6413 2.5825 -9.35 6.71
3 16 1.7112 -9.4102 6.2762 2.2358 -9.6188 5.465 2.5825 -9.35 6.71
3 16 3.7575 -10.2125 1.9375 2.345 -10.49 1.2825 2.8775 -10.5125 -0.4025
3 16 5.235 -9.765 0.4475 3.7575 -10.2125 1.9375 2.8775 -10.5125 -0.4025
3 16 2.8775 -10.5125 -0.4025 2.345 -10.49 1.2825 0 -10.84 0.35
3 16 0 -10.845 -1.2 2.8775 -10.5125 -0.4025 0 -10.84 0.35
3 16 0 -10.84 0.35 2.345 -10.49 1.2825 1.8525 -10.49 2.315
3 16 0 -10.6975 1.365 0 -10.84 0.35 1.8525 -10.49 2.315
3 16 1.8525 -10.49 2.315 2.345 -10.49 1.2825 3.7575 -10.2125 1.9375
3 16 3.3325 -10.24 2.685 1.8525 -10.49 2.315 3.7575 -10.2125 1.9375
3 16 1.692 -8.907 7.7075 0 -9.2218 7.162 0.9261 -9.2707 6.8722
