0 ~Animal Shell Clam Large - Sea Life Set - Half
4 16 -7.189 -12.927 1.972 -5.457 -12.712 2.645 -7.152 -12.072 8.14 -9.282 -12.34 7.11
4 16 -8.382 -10.577 11.837 -10.735 -11.099 10.108 -9.282 -12.34 7.11 -7.152 -12.072 8.14
3 16 -8.382 -10.577 11.837 -11.044 -8.798 13.397 -10.735 -11.099 10.108
3 16 -9.587 -7.109 14.675 -11.044 -8.798 13.397 -8.382 -10.577 11.837
3 16 -10.735 -11.099 10.108 -11.044 -8.798 13.397 -12.853 -8.855 11.86
4 16 -3.377 -10.24 -8.254 -5.3 -12.156 -3.887 -6.627 -11.906 -4.093 -5.571 -10.011 -8.268
3 16 -5.3 -12.156 -3.887 -7.189 -12.927 1.972 -6.627 -11.906 -4.093
3 16 -6.627 -11.906 -4.093 -7.189 -12.927 1.972 -8.839 -12.68 1.48
3 16 -7.189 -12.927 1.972 -9.282 -12.34 7.11 -8.839 -12.68 1.48
3 16 -8.839 -12.68 1.48 -9.282 -12.34 7.11 -11.074 -11.952 6.047
3 16 -9.282 -12.34 7.11 -10.735 -11.099 10.108 -11.074 -11.952 6.047
3 16 -11.074 -11.952 6.047 -10.735 -11.099 10.108 -12.763 -10.405 8.777
3 16 -10.735 -11.099 10.108 -12.853 -8.855 11.86 -12.763 -10.405 8.777
3 16 -12.763 -10.405 8.777 -12.853 -8.855 11.86 -14.268 -7.209 10.626
3 16 -2.301 -12.751 3.066 -3.901 -12.959 2.692 -1.747 -12.118 -3.26
3 16 -1.747 -12.118 -3.26 -3.901 -12.959 2.692 -2.875 -12.23 -3.428
3 16 -2.301 -12.751 3.066 -4.943 -12.596 8.314 -3.901 -12.959 2.692
3 16 -2.674 -12.1 8.57 -4.943 -12.596 8.314 -2.301 -12.751 3.066
4 16 -2.951 -11.138 12.173 -5.651 -11.731 11.823 -4.943 -12.596 8.314 -2.674 -12.1 8.57
3 16 -2.951 -11.138 12.173 -6.336 -9.793 15.501 -5.651 -11.731 11.823
3 16 -4.579 -8.994 15.944 -6.336 -9.793 15.501 -2.951 -11.138 12.173
3 16 -2.951 -11.138 12.173 -3.196 -7.328 16.236 -4.579 -8.994 15.944
4 16 -1.747 -12.118 -3.26 -2.875 -12.23 -3.428 -2.088 -10.445 -8.352 -1.138 -10.545 -7.644
3 16 -3.901 -12.959 2.692 -3.851 -12.148 -3.631 -2.875 -12.23 -3.428
3 16 -5.457 -12.712 2.645 -3.851 -12.148 -3.631 -3.901 -12.959 2.692
3 16 -4.943 -12.596 8.314 -5.457 -12.712 2.645 -3.901 -12.959 2.692
3 16 -7.152 -12.072 8.14 -5.457 -12.712 2.645 -4.943 -12.596 8.314
3 16 -5.651 -11.731 11.823 -7.152 -12.072 8.14 -4.943 -12.596 8.314
3 16 -8.382 -10.577 11.837 -7.152 -12.072 8.14 -5.651 -11.731 11.823
3 16 -5.651 -11.731 11.823 -6.336 -9.793 15.501 -8.382 -10.577 11.837
3 16 -8.382 -10.577 11.837 -6.336 -9.793 15.501 -8.262 -9.042 14.995
3 16 -8.382 -10.577 11.837 -8.262 -9.042 14.995 -9.587 -7.109 14.675
3 16 -2.088 -10.445 -8.352 -2.875 -12.23 -3.428 -3.851 -12.148 -3.631
3 16 -3.851 -12.148 -3.631 -3.377 -10.24 -8.254 -2.088 -10.445 -8.352
3 16 -1.138 -10.545 -7.644 0 -10.542 -7.238 0 -12.41 -3.28
3 16 0 -12.41 -3.28 -1.747 -12.118 -3.26 -1.138 -10.545 -7.644
3 16 0 -13.225 3.003 -1.747 -12.118 -3.26 0 -12.41 -3.28
3 16 -2.301 -12.751 3.066 -1.747 -12.118 -3.26 0 -13.225 3.003
3 16 0 -12.917 8.468 -2.301 -12.751 3.066 0 -13.225 3.003
3 16 -2.674 -12.1 8.57 -2.301 -12.751 3.066 0 -12.917 8.468
3 16 0 -12.116 12.05 -2.674 -12.1 8.57 0 -12.917 8.468
3 16 -2.951 -11.138 12.173 -2.674 -12.1 8.57 0 -12.116 12.05
4 16 0 -12.116 12.05 0 -9.656 16.221 -1.754 -9.078 16.247 -2.951 -11.138 12.173
3 16 -2.951 -11.138 12.173 -1.754 -9.078 16.247 -3.196 -7.328 16.236
4 16 -7.348 -10.328 -9.574 -8.667 -9.942 -9.631 -8.79 -10.19 -11.386 -7.656 -10.516 -11.39
3 16 -7.656 -10.516 -11.39 -3.461 -10.477 -11.028 -7.348 -10.328 -9.574
3 16 -7.348 -10.328 -9.574 -3.461 -10.477 -11.028 -3.367 -10.437 -9.391
3 16 0 -10.477 -10.983 -3.367 -10.437 -9.391 -3.461 -10.477 -11.028
3 16 0 -10.509 -9.311 -3.367 -10.437 -9.391 0 -10.477 -10.983
3 16 -7.656 -10.516 -11.39 -8.79 -10.19 -11.386 -9.06 -9.688 -13.105
3 16 -9.06 -9.688 -13.105 -7.758 -9.93 -13.209 -7.656 -10.516 -11.39
3 16 -7.758 -9.93 -13.209 -9.06 -9.688 -13.105 -9.36 -8.495 -14.615
3 16 -9.36 -8.495 -14.615 -7.802 -8.661 -14.769 -7.758 -9.93 -13.209
4 16 -7.802 -8.661 -14.769 -9.36 -8.495 -14.615 -9.586 -7.023 -15.582 -7.871 -7.172 -15.761
4 16 -3.541 -8.633 -14.103 -7.802 -8.661 -14.769 -7.871 -7.172 -15.761 -3.512 -7.172 -15.045
3 16 -7.802 -8.661 -14.769 -3.541 -8.633 -14.103 -3.513 -9.724 -12.887
4 16 -3.512 -7.172 -15.045 0 -7.172 -14.775 0 -8.637 -13.829 -3.541 -8.633 -14.103
3 16 -7.758 -9.93 -13.209 -3.513 -9.724 -12.887 -3.461 -10.477 -11.028
3 16 -3.513 -9.724 -12.887 -7.758 -9.93 -13.209 -7.802 -8.661 -14.769
3 16 -3.541 -8.633 -14.103 0 -8.637 -13.829 0 -9.75 -12.683
3 16 -3.461 -10.477 -11.028 -7.656 -10.516 -11.39 -7.758 -9.93 -13.209
3 16 0 -10.477 -10.983 -3.461 -10.477 -11.028 -3.513 -9.724 -12.887
3 16 -3.513 -9.724 -12.887 0 -9.75 -12.683 0 -10.477 -10.983
3 16 0 -9.75 -12.683 -3.513 -9.724 -12.887 -3.541 -8.633 -14.103
3 16 -3.512 -7.172 -15.045 0 -5.5 -15.14 0 -7.172 -14.775
3 16 -3.518 -5.5 -15.357 0 -5.5 -15.14 -3.512 -7.172 -15.045
3 16 -3.512 -7.172 -15.045 -7.871 -7.172 -15.761 -3.518 -5.5 -15.357
3 16 -7.871 -7.172 -15.761 -9.586 -7.023 -15.582 -9.64 -5.5 -16.01
3 16 -3.518 -5.5 -15.357 -7.871 -7.172 -15.761 -7.896 -5.5 -16.122
3 16 -9.64 -5.5 -16.01 -7.896 -5.5 -16.122 -7.871 -7.172 -15.761
3 16 0 -10.509 -9.311 0 -10.542 -7.238 -1.138 -10.545 -7.644
3 16 -1.138 -10.545 -7.644 -2.088 -10.445 -8.352 0 -10.509 -9.311
3 16 0 -10.509 -9.311 -2.088 -10.445 -8.352 -3.367 -10.437 -9.391
3 16 -3.367 -10.437 -9.391 -2.088 -10.445 -8.352 -3.377 -10.24 -8.254
3 16 -3.377 -10.24 -8.254 -5.571 -10.011 -8.268 -3.367 -10.437 -9.391
3 16 -3.367 -10.437 -9.391 -5.571 -10.011 -8.268 -7.348 -10.328 -9.574
3 16 -5.571 -10.011 -8.268 -6.997 -9.969 -8.422 -7.348 -10.328 -9.574
3 16 -8.561 -9.575 -8.696 -7.348 -10.328 -9.574 -6.997 -9.969 -8.422
3 16 -8.667 -9.942 -9.631 -7.348 -10.328 -9.574 -8.561 -9.575 -8.696
3 16 -9.228 -8.984 -10.445 -8.79 -10.19 -11.386 -8.667 -9.942 -9.631
3 16 -9.228 -8.984 -10.445 -9.723 -8.064 -12.816 -8.79 -10.19 -11.386
3 16 -8.79 -10.19 -11.386 -9.723 -8.064 -12.816 -9.06 -9.688 -13.105
3 16 -9.723 -8.064 -12.816 -9.36 -8.495 -14.615 -9.06 -9.688 -13.105
3 16 -9.723 -8.064 -12.816 -9.586 -7.023 -15.582 -9.36 -8.495 -14.615
3 16 -9.977 -5.5 -14.044 -9.586 -7.023 -15.582 -9.723 -8.064 -12.816
3 16 -9.228 -8.984 -10.445 -8.667 -9.942 -9.631 -8.945 -8.702 -9.054
3 16 -8.945 -8.702 -9.054 -8.667 -9.942 -9.631 -8.561 -9.575 -8.696
3 16 -8.945 -8.702 -9.054 -9.148 -5.5 -10.034 -9.228 -8.984 -10.445
4 16 -9.228 -8.984 -10.445 -9.148 -5.5 -10.034 -9.977 -5.5 -14.044 -9.723 -8.064 -12.816
3 16 -9.64 -5.5 -16.01 -9.586 -7.023 -15.582 -9.977 -5.5 -14.044
3 16 -17.376 -9.599 6.993 -15.795 -9.521 8.687 -18.538 -7.905 5.456
3 16 -18.538 -7.905 5.456 -15.795 -9.521 8.687 -14.268 -7.209 10.626
3 16 -14.411 -5.5 10.675 -18.538 -7.905 5.456 -14.268 -7.209 10.626
3 16 -19.249 -5.5 4.638 -18.538 -7.905 5.456 -14.411 -5.5 10.675
3 16 -12.853 -8.855 11.86 -11.044 -8.798 13.397 -14.268 -7.209 10.626
3 16 -14.268 -7.209 10.626 -11.044 -8.798 13.397 -9.587 -7.109 14.675
3 16 -9.587 -7.109 14.675 -14.411 -5.5 10.675 -14.268 -7.209 10.626
3 16 -9.642 -5.5 14.835 -14.411 -5.5 10.675 -9.587 -7.109 14.675
3 16 -3.196 -7.328 16.236 -3.208 -5.5 16.536 -4.579 -8.994 15.944
3 16 -4.579 -8.994 15.944 -3.208 -5.5 16.536 -6.336 -9.793 15.501
3 16 -3.208 -5.5 16.536 -8.262 -9.042 14.995 -6.336 -9.793 15.501
3 16 -9.587 -7.109 14.675 -8.262 -9.042 14.995 -3.208 -5.5 16.536
3 16 -3.208 -5.5 16.536 -9.642 -5.5 14.835 -9.587 -7.109 14.675
4 16 0 -5.5 -11 -3.518 -5.5 -15.357 -7.896 -5.5 -16.122 -5.25 -5.5 -11.25
4 16 -9.977 -5.5 -14.044 -5.25 -5.5 -11.25 -7.896 -5.5 -16.122 -9.64 -5.5 -16.01
4 16 -5.569 -5.5 -9.115 -5.25 -5.5 -11.25 -9.977 -5.5 -14.044 -9.148 -5.5 -10.034
4 16 -5.569 -5.5 -9.115 -9.148 -5.5 -10.034 -12.568 -5.5 -6.065 -6.246 -5.5 -7.86
4 16 -6.246 -5.5 -7.86 -12.568 -5.5 -6.065 -17.844 -5.5 .208 -14.787 -5.5 2.701
4 16 -19.249 -5.5 4.638 -14.787 -5.5 2.701 -17.844 -5.5 .208 -19.082 -5.5 2.303
3 16 0 -5.5 -11 0 -5.5 -15.14 -3.518 -5.5 -15.357
4 16 -14.787 -5.5 2.701 -19.249 -5.5 4.638 -14.411 -5.5 10.675 -12.826 -5.5 6.255
4 16 -12.826 -5.5 6.255 -14.411 -5.5 10.675 -9.642 -5.5 14.835 -8.889 -5.5 9.884
4 16 -8.889 -5.5 9.884 -9.642 -5.5 14.835 -3.208 -5.5 16.536 -4.054 -5.5 12.09
4 16 -4.054 -5.5 12.09 -3.208 -5.5 16.536 0 -5.5 16.536 0 -5.5 12.497
4 16 -5.25 -5.5 -11.25 -5.25 -6.5 -11.25 0 -6.5 -11 0 -5.5 -11
4 16 -5.569 -6.5 -9.157 -5.25 -6.5 -11.25 -5.25 -5.5 -11.25 -5.569 -5.5 -9.115
3 16 -6.246 -5.5 -7.86 -5.569 -6.5 -9.157 -5.569 -5.5 -9.115
3 16 -6.287 -8 -7.81 -5.569 -6.5 -9.157 -6.246 -5.5 -7.86
3 16 -5.749 -8 -8.517 -5.569 -6.5 -9.157 -6.287 -8 -7.81
4 16 -6.246 -5.5 -7.86 -14.787 -5.5 2.701 -14.786 -8 2.719 -6.287 -8 -7.81
3 16 -5.569 -6.5 -9.157 -4.38 -6.5 -8.477 -5.25 -6.5 -11.25
4 16 0 -6.5 -8 0 -6.5 -11 -5.25 -6.5 -11.25 -4.38 -6.5 -8.477
4 16 -4.824 -8 -7.984 -4.38 -6.5 -8.477 -5.569 -6.5 -9.157 -5.749 -8 -8.517
3 16 -4.824 -8 -7.984 -3.9003 -8 -6.8307 -3.0616 -6.5 -7.3912
3 16 -3.0616 -6.5 -7.3912 -4.38 -6.5 -8.477 -4.824 -8 -7.984
3 16 -3.0616 -6.5 -7.3912 0 -6.5 -8 -4.38 -6.5 -8.477
4 16 -12.769 -8 6.348 -14.786 -8 2.719 -14.787 -5.5 2.701 -12.826 -5.5 6.255
3 16 -12.826 -5.5 6.255 -8.889 -5.5 9.884 -12.769 -8 6.348
3 16 -12.769 -8 6.348 -8.889 -5.5 9.884 -8.813 -8 9.938
4 16 -8.889 -5.5 9.884 -4.054 -5.5 12.09 -3.918 -8 12.141 -8.813 -8 9.938
4 16 -4.054 -5.5 12.09 0 -5.5 12.497 0 -8 12.534 -3.918 -8 12.141
3 16 -12.568 -5.5 -6.065 -8.945 -8.702 -9.054 -10.589 -10.387 -6.255
3 16 -10.589 -10.387 -6.255 -8.945 -8.702 -9.054 -8.561 -9.575 -8.696
3 16 -8.945 -8.702 -9.054 -12.568 -5.5 -6.065 -9.148 -5.5 -10.034
4 16 -3.918 -8 12.141 -3.9003 -8 -6.8307 -12.769 -8 6.348 -8.813 -8 9.938
4 16 -3.9003 -8 -6.8307 -3.918 -8 12.141 0 -8 12.534 0 -8 -6
4 16 -12.769 -8 6.348 -3.9003 -8 -6.8307 -6.287 -8 -7.81 -14.786 -8 2.719
4 16 -5.749 -8 -8.517 -6.287 -8 -7.81 -3.9003 -8 -6.8307 -4.824 -8 -7.984
3 16 0 -9.656 16.221 0 -5.5 16.536 -1.754 -9.078 16.247
3 16 -1.754 -9.078 16.247 0 -5.5 16.536 -3.196 -7.328 16.236
3 16 -3.196 -7.328 16.236 0 -5.5 16.536 -3.208 -5.5 16.536
2 24 -3.0616 -6.5 -7.3912 -3.9003 -8 -6.8307
2 24 0 -6.5 -8 -3.0616 -6.5 -7.3912
2 24 -8.561 -9.575 -8.696 -6.997 -9.969 -8.422
2 24 -5.571 -10.011 -8.268 -6.627 -11.906 -4.093
2 24 -6.997 -9.969 -8.422 -5.571 -10.011 -8.268
2 24 -6.627 -11.906 -4.093 -8.839 -12.68 1.48
2 24 -17.844 -5.5 .208 -12.568 -5.5 -6.065
2 24 -19.082 -5.5 2.303 -17.844 -5.5 .208
2 24 -8.839 -12.68 1.48 -11.074 -11.952 6.047
2 24 -11.074 -11.952 6.047 -12.763 -10.405 8.777
2 24 -17.376 -9.599 6.993 -18.538 -7.905 5.456
2 24 -15.795 -9.521 8.687 -17.376 -9.599 6.993
2 24 -14.268 -7.209 10.626 -15.795 -9.521 8.687
2 24 -12.763 -10.405 8.777 -14.268 -7.209 10.626
2 24 -19.249 -5.5 4.638 -19.082 -5.5 2.303
2 24 -18.538 -7.905 5.456 -19.249 -5.5 4.638
2 24 -3.377 -10.24 -8.254 -3.851 -12.148 -3.631
2 24 -3.851 -12.148 -3.631 -5.457 -12.712 2.645
2 24 -5.457 -12.712 2.645 -7.152 -12.072 8.14
2 24 -7.152 -12.072 8.14 -8.382 -10.577 11.837
2 24 -9.587 -7.109 14.675 -11.044 -8.798 13.397
2 24 -8.382 -10.577 11.837 -9.587 -7.109 14.675
2 24 -11.044 -8.798 13.397 -12.853 -8.855 11.86
2 24 -5.571 -10.011 -8.268 -3.377 -10.24 -8.254
2 24 -12.853 -8.855 11.86 -14.268 -7.209 10.626
2 24 -1.747 -12.118 -3.26 -2.301 -12.751 3.066
2 24 -2.301 -12.751 3.066 -2.674 -12.1 8.57
2 24 -2.674 -12.1 8.57 -2.951 -11.138 12.173
2 24 -4.579 -8.994 15.944 -6.336 -9.793 15.501
2 24 -2.951 -11.138 12.173 -3.196 -7.328 16.236
2 24 -3.196 -7.328 16.236 -4.579 -8.994 15.944
2 24 -1.138 -10.545 -7.644 -1.747 -12.118 -3.26
2 24 -2.088 -10.445 -8.352 -1.138 -10.545 -7.644
2 24 -6.336 -9.793 15.501 -8.262 -9.042 14.995
2 24 -8.262 -9.042 14.995 -9.587 -7.109 14.675
2 24 -3.377 -10.24 -8.254 -2.088 -10.445 -8.352
2 24 -1.138 -10.545 -7.644 0 -10.542 -7.238
2 24 0 -9.656 16.221 -1.754 -9.078 16.247
2 24 -1.754 -9.078 16.247 -3.196 -7.328 16.236
2 24 -8.667 -9.942 -9.631 -8.79 -10.19 -11.386
2 24 -8.79 -10.19 -11.386 -9.06 -9.688 -13.105
2 24 -9.06 -9.688 -13.105 -9.36 -8.495 -14.615
2 24 -3.0616 -6.5 -7.3912 -4.38 -6.5 -8.477
2 24 -4.38 -6.5 -8.477 -5.569 -6.5 -9.157

2 24 -9.36 -8.495 -14.615 -9.586 -7.023 -15.582
2 24 -3.518 -5.5 -15.357 0 -5.5 -15.14
2 24 -7.896 -5.5 -16.122 -3.518 -5.5 -15.357
2 24 -9.586 -7.023 -15.582 -9.64 -5.5 -16.01
2 24 -9.64 -5.5 -16.01 -7.896 -5.5 -16.122
2 24 -8.561 -9.575 -8.696 -8.667 -9.942 -9.631
2 24 -8.561 -9.575 -8.696 -8.945 -8.702 -9.054
2 24 -8.945 -8.702 -9.054 -9.148 -5.5 -10.034
2 24 -9.148 -5.5 -10.034 -9.977 -5.5 -14.044
2 24 -9.977 -5.5 -14.044 -9.64 -5.5 -16.01
2 24 -14.268 -7.209 10.626 -14.411 -5.5 10.675
2 24 -14.411 -5.5 10.675 -19.249 -5.5 4.638
2 24 -9.642 -5.5 14.835 -14.411 -5.5 10.675
2 24 -9.587 -7.109 14.675 -9.642 -5.5 14.835
2 24 -3.196 -7.328 16.236 -3.208 -5.5 16.536
2 24 -3.208 -5.5 16.536 -9.642 -5.5 14.835
2 24 -5.25 -5.5 -11.25 0 -5.5 -11
2 24 -5.569 -5.5 -9.115 -5.25 -5.5 -11.25
2 24 -6.246 -5.5 -7.86 -5.569 -5.5 -9.115
2 24 -9.148 -5.5 -10.034 -12.568 -5.5 -6.065
2 24 -14.787 -5.5 2.701 -6.246 -5.5 -7.86
2 24 -12.826 -5.5 6.255 -14.787 -5.5 2.701
2 24 -8.889 -5.5 9.884 -12.826 -5.5 6.255
2 24 -4.054 -5.5 12.09 -8.889 -5.5 9.884
2 24 0 -5.5 12.497 -4.054 -5.5 12.09
2 24 -3.208 -5.5 16.536 0 -5.5 16.536
2 24 -5.25 -5.5 -11.25 -5.25 -6.5 -11.25
2 24 -5.25 -6.5 -11.25 0 -6.5 -11
2 24 -5.569 -6.5 -9.157 -5.25 -6.5 -11.25
2 24 -5.749 -8 -8.517 -5.569 -6.5 -9.157
2 24 -6.287 -8 -7.81 -5.749 -8 -8.517
2 24 -14.786 -8 2.719 -6.287 -8 -7.81
2 24 -14.787 -5.5 2.701 -14.786 -8 2.719
2 24 -5.749 -8 -8.517 -4.824 -8 -7.984
2 24 -4.824 -8 -7.984 -3.9003 -8 -6.8307
2 24 -12.769 -8 6.348 -14.786 -8 2.719
2 24 -8.813 -8 9.938 -12.769 -8 6.348
2 24 -3.918 -8 12.141 -8.813 -8 9.938
2 24 0 -8 12.534 -3.918 -8 12.141

5 24 -4.824 -8 -7.984 -5.569 -6.5 -9.157 -4.38 -6.5 -8.477 -5.749 -8 -8.517
5 24 -6.246 -5.5 -7.86 -14.786 -8 2.719 -14.787 -5.5 2.701 -6.287 -8 -7.81
5 24 -5.569 -6.5 -9.157 -5.25 -5.5 -11.25 -5.25 -6.5 -11.25 -5.569 -5.5 -9.115
5 24 -8.889 -5.5 9.884 -3.918 -8 12.141 -4.054 -5.5 12.09 -8.813 -8 9.938
5 24 -12.769 -8 6.348 -14.787 -5.5 2.701 -14.786 -8 2.719 -12.826 -5.5 6.255
5 24 -3.377 -10.24 -8.254 -6.627 -11.906 -4.093 -5.3 -12.156 -3.887 -5.571 -10.011 -8.268
5 24 -7.189 -12.927 1.972 -7.152 -12.072 8.14 -5.457 -12.712 2.645 -9.282 -12.34 7.11
5 24 -2.951 -11.138 12.173 -4.943 -12.596 8.314 -5.651 -11.731 11.823 -2.674 -12.1 8.57
5 24 0 -12.116 12.05 -1.754 -9.078 16.247 0 -9.656 16.221 -2.951 -11.138 12.173
5 24 -3.541 -8.633 -14.103 -7.871 -7.172 -15.761 -7.802 -8.661 -14.769 -3.512 -7.172 -15.045
5 24 -7.802 -8.661 -14.769 -9.586 -7.023 -15.582 -9.36 -8.495 -14.615 -7.871 -7.172 -15.761
5 24 -7.348 -10.328 -9.574 -8.79 -10.19 -11.386 -8.667 -9.942 -9.631 -7.656 -10.516 -11.39
5 24 -6.997 -9.969 -8.422 -8.605 -11.781 -5.06 -8.561 -9.575 -8.696 -5.571 -10.011 -8.268
5 24 -16.324 -11.051 1.273 -17.844 -5.5 .208 -18.045 -9.57 3.665 -13.599 -11.218 -2.462
5 24 -17.844 -5.5 .208 -13.599 -11.218 -2.462 -16.324 -11.051 1.273 -12.568 -5.5 -6.065
5 24 -13.599 -11.218 -2.462 -10.589 -10.387 -6.255 -8.605 -11.781 -5.06 -12.568 -5.5 -6.065
5 24 -1.754 -9.078 16.247 0 -5.5 16.536 -3.196 -7.328 16.236 0 -9.656 16.221
5 24 -3.461 -10.477 -11.028 0 -10.477 -10.983 -3.513 -9.724 -12.887 -3.367 -10.437 -9.391
5 24 -12.769 -8 6.348 -12.826 -5.5 6.255 -14.786 -8 2.719 -8.889 -5.5 9.884
5 24 -14.268 -7.209 10.626 -11.044 -8.798 13.397 -9.587 -7.109 14.675 -12.853 -8.855 11.86
5 24 -4.579 -8.994 15.944 -2.951 -11.138 12.173 -3.196 -7.328 16.236 -6.336 -9.793 15.501
5 24 -7.802 -8.661 -14.769 -7.871 -7.172 -15.761 -9.36 -8.495 -14.615 -3.512 -7.172 -15.045
5 24 -13.599 -11.218 -2.462 -16.324 -11.051 1.273 -17.844 -5.5 .208 -11.233 -12.722 -.359
5 24 -18.045 -9.57 3.665 -16.324 -11.051 1.273 -17.844 -5.5 .208 -13.66 -12.481 4.14
5 24 0 -7.172 -14.775 -3.512 -7.172 -15.045 0 -5.5 -15.14 0 -8.637 -13.829
5 24 -8.262 -9.042 14.995 -3.208 -5.5 16.536 -6.336 -9.793 15.501 -9.587 -7.109 14.675
5 24 -6.627 -11.906 -4.093 -5.3 -12.156 -3.887 -5.571 -10.011 -8.268 -7.189 -12.927 1.972
5 24 -12.763 -10.405 8.777 -12.853 -8.855 11.86 -10.735 -11.099 10.108 -14.268 -7.209 10.626
5 24 -3.541 -8.633 -14.103 -3.513 -9.724 -12.887 0 -9.75 -12.683 -7.802 -8.661 -14.769
5 24 -6.336 -9.793 15.501 -2.951 -11.138 12.173 -5.651 -11.731 11.823 -4.579 -8.994 15.944
5 24 -3.367 -10.437 -9.391 -5.571 -10.011 -8.268 -7.348 -10.328 -9.574 -3.377 -10.24 -8.254
5 24 -3.367 -10.437 -9.391 -2.088 -10.445 -8.352 0 -10.509 -9.311 -3.377 -10.24 -8.254
5 24 -3.367 -10.437 -9.391 -3.377 -10.24 -8.254 -5.571 -10.011 -8.268 -2.088 -10.445 -8.352
5 24 -9.36 -8.495 -14.615 -9.723 -8.064 -12.816 -9.06 -9.688 -13.105 -9.586 -7.023 -15.582
5 24 -5.3 -12.156 -3.887 -5.457 -12.712 2.645 -7.189 -12.927 1.972 -3.851 -12.148 -3.631
5 24 -13.66 -12.481 4.14 -11.233 -12.722 -.359 -16.324 -11.051 1.273 -8.839 -12.68 1.48
5 24 -7.348 -10.328 -9.574 -8.561 -9.575 -8.696 -6.997 -9.969 -8.422 -8.667 -9.942 -9.631
5 24 0 -10.509 -9.311 -3.367 -10.437 -9.391 0 -10.477 -10.983 -2.088 -10.445 -8.352
5 24 -12.568 -5.5 -6.065 -10.589 -10.387 -6.255 -8.945 -8.702 -9.054 -13.599 -11.218 -2.462
5 24 -11.074 -11.952 6.047 -13.66 -12.481 4.14 -14.853 -11.255 6.63 -8.839 -12.68 1.48
5 24 -4.943 -12.596 8.314 -2.301 -12.751 3.066 -3.901 -12.959 2.692 -2.674 -12.1 8.57
5 24 -9.148 -5.5 -10.034 -9.228 -8.984 -10.445 -8.945 -8.702 -9.054 -9.977 -5.5 -14.044
5 24 -3.518 -5.5 -15.357 -7.871 -7.172 -15.761 -7.896 -5.5 -16.122 -3.512 -7.172 -15.045
5 24 -11.044 -8.798 13.397 -8.382 -10.577 11.837 -9.587 -7.109 14.675 -10.735 -11.099 10.108
