0 ~Animal Snake Large with Raised Head - without Patternable Surfaces
3 16 5.501 -22.58 -52.235 1.597 -19.134 -49.692 4.231 -19.143 -48.347
3 16 1.597 -19.134 -49.692 1.354 -15.711 -45.136 4.231 -19.143 -48.347
3 16 1.597 -19.134 -49.692 -1.406 -14.935 -46.294 1.354 -15.711 -45.136
3 16 4.231 -19.143 -48.347 3.037 -17.15 -43.494 6.372 -20.357 -46.448
3 16 4.231 -19.143 -48.347 1.354 -15.711 -45.136 3.037 -17.15 -43.494
4 16 6.897 -22.313 -44.598 6.372 -20.357 -46.448 3.037 -17.15 -43.494 3.439 -19.1 -41.457
3 16 -.465 -26.52 -50.458 -4.411 -23.717 -47.858 -3.011 -21.619 -49.296
3 16 -.465 -26.52 -50.458 -3.011 -21.619 -49.296 .895 -24.736 -51.483
3 16 .895 -24.736 -51.483 -3.011 -21.619 -49.296 -.861 -20.061 -49.991
3 16 .895 -24.736 -51.483 -.861 -20.061 -49.991 2.916 -23.202 -52.044
3 16 2.916 -23.202 -52.044 -.861 -20.061 -49.991 1.597 -19.134 -49.692
3 16 2.916 -23.202 -52.044 1.597 -19.134 -49.692 5.501 -22.58 -52.235
3 16 -4.411 -23.717 -47.858 -6.342 -17.316 -45.295 -3.011 -21.619 -49.296
3 16 -4.411 -23.717 -47.858 -7.133 -19.276 -43.576 -6.342 -17.316 -45.295
3 16 -3.011 -21.619 -49.296 -4.273 -15.512 -46.431 -.861 -20.061 -49.991
3 16 -3.011 -21.619 -49.296 -6.342 -17.316 -45.295 -4.273 -15.512 -46.431
3 16 -.861 -20.061 -49.991 -1.406 -14.935 -46.294 1.597 -19.134 -49.692
3 16 -.861 -20.061 -49.991 -4.273 -15.512 -46.431 -1.406 -14.935 -46.294
3 16 -1.673 -9.567 -34.971 -4.518 -11.868 -40.73 -5.865 -13.675 -38.678
3 16 -1.673 -9.567 -34.971 .402 -7.569 -36.545 -4.518 -11.868 -40.73
3 16 .402 -7.569 -36.545 -2.083 -10.878 -41.973 -4.518 -11.868 -40.73
3 16 .402 -7.569 -36.545 2.967 -6.728 -37.643 -2.083 -10.878 -41.973
3 16 2.967 -6.728 -37.643 1.421 -10.946 -42.222 -2.083 -10.878 -41.973
3 16 2.967 -6.728 -37.643 6.513 -7.115 -38.146 1.421 -10.946 -42.222
3 16 11.487 -10.01 -36.304 11.829 -12.394 -34.404 7.507 -15.854 -38.502
3 16 11.487 -10.01 -36.304 7.507 -15.854 -38.502 6.669 -13.941 -40.265
3 16 9.083 -8.074 -37.711 11.487 -10.01 -36.304 6.669 -13.941 -40.265
3 16 9.083 -8.074 -37.711 6.669 -13.941 -40.265 4.587 -12.163 -41.531
3 16 6.513 -7.115 -38.146 9.083 -8.074 -37.711 4.587 -12.163 -41.531
3 16 6.513 -7.115 -38.146 4.587 -12.163 -41.531 1.421 -10.946 -42.222
3 16 6.669 -13.941 -40.265 7.507 -15.854 -38.502 3.439 -19.1 -41.457
3 16 6.669 -13.941 -40.265 3.439 -19.1 -41.457 3.037 -17.15 -43.494
3 16 4.587 -12.163 -41.531 6.669 -13.941 -40.265 3.037 -17.15 -43.494
3 16 4.587 -12.163 -41.531 3.037 -17.15 -43.494 1.354 -15.711 -45.136
3 16 1.421 -10.946 -42.222 4.587 -12.163 -41.531 1.354 -15.711 -45.136
3 16 1.421 -10.946 -42.222 1.354 -15.711 -45.136 -1.406 -14.935 -46.294
3 16 -5.865 -13.675 -38.678 -6.342 -17.316 -45.295 -7.133 -19.276 -43.576
3 16 -5.865 -13.675 -38.678 -4.518 -11.868 -40.73 -6.342 -17.316 -45.295
3 16 -4.518 -11.868 -40.73 -4.273 -15.512 -46.431 -6.342 -17.316 -45.295
3 16 -4.518 -11.868 -40.73 -2.083 -10.878 -41.973 -4.273 -15.512 -46.431
3 16 -2.083 -10.878 -41.973 -1.406 -14.935 -46.294 -4.273 -15.512 -46.431
3 16 -2.083 -10.878 -41.973 1.421 -10.946 -42.222 -1.406 -14.935 -46.294
3 16 .995 -7.814 -32.705 .402 -7.569 -36.545 -1.673 -9.567 -34.971
3 16 .995 -7.814 -32.705 2.784 -5.665 -34.314 .402 -7.569 -36.545
3 16 2.784 -5.665 -34.314 2.967 -6.728 -37.643 .402 -7.569 -36.545
3 16 2.784 -5.665 -34.314 5.184 -4.555 -34.788 2.967 -6.728 -37.643
3 16 5.184 -4.555 -34.788 6.513 -7.115 -38.146 2.967 -6.728 -37.643
3 16 5.184 -4.555 -34.788 8.506 -4.579 -34.582 6.513 -7.115 -38.146
4 16 13.074 -9.254 -30.638 11.829 -12.394 -34.404 11.487 -10.01 -36.304 12.786 -7.004 -32.287
3 16 10.734 -5.219 -33.944 12.786 -7.004 -32.287 11.487 -10.01 -36.304
3 16 10.734 -5.219 -33.944 11.487 -10.01 -36.304 9.083 -8.074 -37.711
3 16 8.506 -4.579 -34.582 10.734 -5.219 -33.944 9.083 -8.074 -37.711
3 16 8.506 -4.579 -34.582 9.083 -8.074 -37.711 6.513 -7.115 -38.146
3 16 12.157 -4.401 -27.919 7.8 -4.934 -20.234 12.371 -6.873 -26.335
3 16 12.157 -4.401 -27.919 7.102 -2.259 -20.737 7.8 -4.934 -20.234
3 16 8.858 -1.27 -25.945 7.102 -2.259 -20.737 12.157 -4.401 -27.919
3 16 8.858 -1.27 -25.945 12.157 -4.401 -27.919 10.706 -2.814 -29.431
3 16 7.2 -.805 -28.318 10.706 -2.814 -29.431 8.031 -2.036 -30.975
3 16 1.334 -6.438 -29.888 -1.76 -4.977 -26.023 -.678 -2.117 -26.318
3 16 1.334 -6.438 -29.888 -.678 -2.117 -26.318 2.597 -4.108 -31.052
3 16 2.597 -4.108 -31.052 -.678 -2.117 -26.318 4.43 -1.063 -29.169
3 16 2.597 -4.108 -31.052 4.43 -1.063 -29.169 5.018 -2.592 -31.79
3 16 4.43 -1.063 -29.169 8.031 -2.036 -30.975 5.018 -2.592 -31.79
3 16 4.43 -1.063 -29.169 7.2 -.805 -28.318 8.031 -2.036 -30.975
3 16 4.177 0 -27.374 4.43 -1.063 -29.169 -.678 -2.117 -26.318
3 16 4.177 0 -27.374 7.2 -.805 -28.318 4.43 -1.063 -29.169
3 16 4.177 0 -27.374 -.678 -2.117 -26.318 .254 0 -24.88
3 16 4.177 0 -27.374 6.318 0 -26.142 7.2 -.805 -28.318
3 16 5.018 -2.592 -31.79 8.031 -2.036 -30.975 8.506 -4.579 -34.582
3 16 5.018 -2.592 -31.79 8.506 -4.579 -34.582 5.184 -4.555 -34.788
3 16 2.784 -5.665 -34.314 5.018 -2.592 -31.79 5.184 -4.555 -34.788
3 16 2.784 -5.665 -34.314 2.597 -4.108 -31.052 5.018 -2.592 -31.79
3 16 .995 -7.814 -32.705 2.597 -4.108 -31.052 2.784 -5.665 -34.314
3 16 .995 -7.814 -32.705 1.334 -6.438 -29.888 2.597 -4.108 -31.052
3 16 12.157 -4.401 -27.919 12.371 -6.873 -26.335 13.074 -9.254 -30.638
3 16 12.157 -4.401 -27.919 13.074 -9.254 -30.638 12.786 -7.004 -32.287
3 16 10.706 -2.814 -29.431 12.157 -4.401 -27.919 12.786 -7.004 -32.287
3 16 10.706 -2.814 -29.431 12.786 -7.004 -32.287 10.734 -5.219 -33.944
3 16 8.031 -2.036 -30.975 10.706 -2.814 -29.431 10.734 -5.219 -33.944
3 16 8.031 -2.036 -30.975 10.734 -5.219 -33.944 8.506 -4.579 -34.582
4 16 4.177 0 -27.374 .254 0 -24.88 4.88 0 -20.795 6.318 0 -26.142
3 16 6.886 0 -24.741 6.318 0 -26.142 4.88 0 -20.795
4 16 4.88 0 -20.795 .254 0 -24.88 -4.923 0 -18.814 .296 0 -15.214
4 16 .296 0 -15.214 -4.923 0 -18.814 -7.278 0 -15.095 -1.323 0 -12.147
4 16 -7.278 0 -15.095 -8.913 0 -11.042 -2.221 0 -8.745 -1.323 0 -12.147
4 16 -8.913 0 -11.042 -8.392 0 -6.557 -6.999 0 -3.532 -2.221 0 -8.745
3 16 -6.999 0 -3.532 -1.059 0 -6.787 -2.221 0 -8.745
4 16 -6.999 0 -3.532 -4.376 0 -.92 .72 0 -5.177 -1.059 0 -6.787
4 16 -4.376 0 -.92 .901 0 1.99 5.689 0 -2.902 .72 0 -5.177
4 16 .901 0 1.99 6.137 0 4.879 11.611 0 -.1 5.689 0 -2.902
4 16 6.137 0 4.879 9.101 0 7.488 14.826 0 3.36 11.611 0 -.1
4 16 9.101 0 7.488 9.866 0 9.468 16.849 0 9.29 14.826 0 3.36
4 16 9.866 0 9.468 9.801 0 11.447 16.23 0 13.928 16.849 0 9.29
4 16 10.706 -2.814 -29.431 7.2 -.805 -28.318 6.318 0 -26.142 8.858 -1.27 -25.945
3 16 6.318 0 -26.142 6.886 0 -24.741 8.858 -1.27 -25.945
3 16 6.886 0 -24.741 7.102 -2.259 -20.737 8.858 -1.27 -25.945
3 16 6.886 0 -24.741 4.88 0 -20.795 7.102 -2.259 -20.737
3 16 1.791 -2.384 -14.659 7.102 -2.259 -20.737 4.88 0 -20.795
3 16 1.791 -2.384 -14.659 4.88 0 -20.795 .296 0 -15.214
3 16 7.102 -2.259 -20.737 1.791 -2.384 -14.659 2.495 -4.655 -14.794
3 16 7.102 -2.259 -20.737 2.495 -4.655 -14.794 7.8 -4.934 -20.234
3 16 -6.002 -2.035 -19.692 -1.76 -4.977 -26.023 -6.503 -4.705 -19.742
3 16 -6.002 -2.035 -19.692 -.678 -2.117 -26.318 -1.76 -4.977 -26.023
3 16 .254 0 -24.88 -.678 -2.117 -26.318 -6.002 -2.035 -19.692
3 16 .254 0 -24.88 -6.002 -2.035 -19.692 -4.923 0 -18.814
3 16 -10.077 -2.016 -11.283 -8.749 -4.839 -15.701 -10.276 -4.894 -11.325
3 16 -10.077 -2.016 -11.283 -8.4 -2.065 -15.655 -8.749 -4.839 -15.701
3 16 -8.4 -2.065 -15.655 -10.077 -2.016 -11.283 -8.913 0 -11.042
3 16 -8.4 -2.065 -15.655 -8.913 0 -11.042 -7.278 0 -15.095
3 16 .055 -4.586 -9.353 .915 -4.659 -12.24 .392 -2.425 -12.162
3 16 .055 -4.586 -9.353 .392 -2.425 -12.162 -.287 -2.387 -9.332
3 16 -.287 -2.387 -9.332 .392 -2.425 -12.162 -1.323 0 -12.147
3 16 -.287 -2.387 -9.332 -1.323 0 -12.147 -2.221 0 -8.745
4 16 -10.077 -2.016 -11.283 -9.445 -1.989 -6.187 -8.392 0 -6.557 -8.913 0 -11.042
3 16 -9.677 -4.788 -6.067 -10.077 -2.016 -11.283 -10.276 -4.894 -11.325
3 16 -9.677 -4.788 -6.067 -9.445 -1.989 -6.187 -10.077 -2.016 -11.283
3 16 .915 -4.659 -12.24 1.791 -2.384 -14.659 .392 -2.425 -12.162
3 16 .915 -4.659 -12.24 2.495 -4.655 -14.794 1.791 -2.384 -14.659
3 16 .392 -2.425 -12.162 .296 0 -15.214 -1.323 0 -12.147
3 16 .392 -2.425 -12.162 1.791 -2.384 -14.659 .296 0 -15.214
4 16 8.544 0 13.753 14.284 0 17.586 16.23 0 13.928 9.801 0 11.447
4 16 14.284 0 17.586 8.544 0 13.753 7.052 0 15.515 10.996 0 19.988
4 16 10.996 0 19.988 7.052 0 15.515 2.876 0 17.945 5.529 0 22.668
4 16 5.529 0 22.668 2.876 0 17.945 -1.819 0 20.07 1.907 0 24.505
4 16 1.907 0 24.505 -1.819 0 20.07 -5.707 0 23.004 -1.081 0 26.921
4 16 -5.707 0 23.004 -7.845 0 26.097 -2.139 0 28.809 -1.081 0 26.921
4 16 -7.845 0 26.097 -8.313 0 29.704 -2.397 0 31.041 -2.139 0 28.809
4 16 -8.313 0 29.704 -7.608 0 34.482 -3.409 0 38.93 -2.397 0 31.041
3 16 -3.409 0 38.93 .632 0 35.761 -2.397 0 31.041
4 16 -3.409 0 38.93 4.114 0 42.75 6.291 0 39.121 .632 0 35.761
4 16 6.291 0 39.121 4.114 0 42.75 8.59 0 45.818 10.617 0 42.253
4 16 10.617 0 42.253 8.59 0 45.818 10.25 0 47.825 13.012 0 45.495
4 16 13.012 0 45.495 10.25 0 47.825 10.633 0 51.842 13.795 0 49
3 16 13.795 0 49 10.633 0 51.842 13.142 0 52.621
4 16 13.142 0 52.621 10.633 0 51.842 9.203 0 54.932 10.569 0 56.132
4 16 10.569 0 56.132 9.203 0 54.932 7.678 0 56.133 8.587 0 57.319
3 16 .408 -2.471 -7.727 .72 0 -5.177 1.719 -2.455 -6.473
3 16 .408 -2.471 -7.727 -1.059 0 -6.787 .72 0 -5.177
3 16 1.719 -2.455 -6.473 .708 -4.724 -7.75 .408 -2.471 -7.727
3 16 1.719 -2.455 -6.473 1.978 -4.763 -6.497 .708 -4.724 -7.75
4 16 -7.894 -4.697 -2.793 -5.333 -4.505 .068 -5.13 -1.923 -.154 -7.676 -2.006 -2.964
3 16 -5.13 -1.923 -.154 -6.999 0 -3.532 -7.676 -2.006 -2.964
3 16 -5.13 -1.923 -.154 -4.376 0 -.92 -6.999 0 -3.532
3 16 -.388 -4.2 3.098 -5.13 -1.923 -.154 -5.333 -4.505 .068
3 16 .016 -1.84 2.895 -4.376 0 -.92 -5.13 -1.923 -.154
3 16 -.388 -4.2 3.098 .016 -1.84 2.895 -5.13 -1.923 -.154
4 16 -.388 -4.2 3.098 4.437 -3.943 5.509 5.06 -1.785 5.44 .016 -1.84 2.895
3 16 .901 0 1.99 .016 -1.84 2.895 5.06 -1.785 5.44
3 16 .016 -1.84 2.895 .901 0 1.99 -4.376 0 -.92
3 16 .901 0 1.99 5.06 -1.785 5.44 6.137 0 4.879
3 16 1.978 -4.763 -6.497 6.246 -2.646 -4.208 6.354 -4.876 -4.182
3 16 1.978 -4.763 -6.497 1.719 -2.455 -6.473 6.246 -2.646 -4.208
3 16 1.719 -2.455 -6.473 5.689 0 -2.902 6.246 -2.646 -4.208
3 16 11.96 -2.655 -1.178 6.246 -2.646 -4.208 5.689 0 -2.902
3 16 11.96 -2.655 -1.178 5.689 0 -2.902 11.611 0 -.1
3 16 1.719 -2.455 -6.473 .72 0 -5.177 5.689 0 -2.902
3 16 15.423 -2.443 1.957 11.611 0 -.1 14.826 0 3.36
3 16 15.423 -2.443 1.957 11.96 -2.655 -1.178 11.611 0 -.1
3 16 11.96 -2.655 -1.178 15.423 -2.443 1.957 14.978 -5.212 1.732
3 16 11.96 -2.655 -1.178 14.978 -5.212 1.732 11.766 -5.142 -1.269
4 16 4.437 -3.943 5.509 7.1 -3.632 7.599 7.875 -1.601 7.658 5.06 -1.785 5.44
3 16 6.137 0 4.879 5.06 -1.785 5.44 7.875 -1.601 7.658
3 16 6.137 0 4.879 7.875 -1.601 7.658 9.101 0 7.488
3 16 8.761 -1.625 9.388 9.101 0 7.488 7.875 -1.601 7.658
3 16 8.761 -1.625 9.388 9.866 0 9.468 9.101 0 7.488
3 16 7.875 -1.601 7.658 8.098 -3.621 9.342 8.761 -1.625 9.388
3 16 7.875 -1.601 7.658 7.1 -3.632 7.599 8.098 -3.621 9.342
3 16 18.109 -5.443 7.697 14.978 -5.212 1.732 15.423 -2.443 1.957
3 16 18.109 -5.443 7.697 15.423 -2.443 1.957 18.152 -2.445 8.209
3 16 17.645 -5.14 14.421 18.109 -5.443 7.697 18.152 -2.445 8.209
3 16 17.645 -5.14 14.421 18.152 -2.445 8.209 17.623 -2.733 14.23
3 16 18.152 -2.445 8.209 15.423 -2.443 1.957 14.826 0 3.36
3 16 18.152 -2.445 8.209 14.826 0 3.36 16.849 0 9.29
3 16 17.623 -2.733 14.23 18.152 -2.445 8.209 16.849 0 9.29
3 16 17.623 -2.733 14.23 16.849 0 9.29 16.23 0 13.928
3 16 7.606 -1.891 13.134 8.109 -3.61 11.085 7.299 -3.81 12.969
3 16 7.606 -1.891 13.134 8.66 -1.648 11.119 8.109 -3.61 11.085
3 16 8.544 0 13.753 8.66 -1.648 11.119 7.606 -1.891 13.134
3 16 8.544 0 13.753 9.801 0 11.447 8.66 -1.648 11.119
3 16 15.645 -2.966 18.065 15.641 -5.289 18.03 17.645 -5.14 14.421
3 16 15.645 -2.966 18.065 17.645 -5.14 14.421 17.623 -2.733 14.23
3 16 15.645 -2.966 18.065 17.623 -2.733 14.23 16.23 0 13.928
3 16 15.645 -2.966 18.065 16.23 0 13.928 14.284 0 17.586
3 16 12.685 -4.962 20.981 15.641 -5.289 18.03 15.645 -2.966 18.065
3 16 12.685 -4.962 20.981 15.645 -2.966 18.065 12.394 -2.823 20.993
3 16 14.284 0 17.586 12.394 -2.823 20.993 15.645 -2.966 18.065
3 16 12.394 -2.823 20.993 7.586 -5.007 23.651 12.685 -4.962 20.981
3 16 2.127 -1.552 17.08 5.709 -3.533 14.309 1.681 -3.564 16.633
3 16 2.127 -1.552 17.08 6.123 -1.658 14.606 5.709 -3.533 14.309
3 16 2.876 0 17.945 6.123 -1.658 14.606 2.127 -1.552 17.08
3 16 2.876 0 17.945 7.052 0 15.515 6.123 -1.658 14.606
3 16 5.709 -3.533 14.309 7.606 -1.891 13.134 7.299 -3.81 12.969
3 16 5.709 -3.533 14.309 6.123 -1.658 14.606 7.606 -1.891 13.134
3 16 6.123 -1.658 14.606 8.544 0 13.753 7.606 -1.891 13.134
3 16 6.123 -1.658 14.606 7.052 0 15.515 8.544 0 13.753
3 16 -1.819 0 20.07 2.876 0 17.945 2.127 -1.552 17.08
3 16 -1.819 0 20.07 2.127 -1.552 17.08 -2.393 -1.32 19.346
3 16 -6.28 -1.275 22.191 -1.819 0 20.07 -2.393 -1.32 19.346
4 16 2.127 -1.552 17.08 1.681 -3.564 16.633 -2.818 -3.547 18.831 -2.393 -1.32 19.346
4 16 -2.393 -1.32 19.346 -2.818 -3.547 18.831 -6.684 -3.717 21.607 -6.28 -1.275 22.191
3 16 3.545 -2.876 25.347 1.159 -4.726 27.458 4.056 -4.773 25.265
3 16 3.545 -2.876 25.347 .724 -2.858 27.566 1.159 -4.726 27.458
4 16 3.545 -2.876 25.347 1.907 0 24.505 -1.081 0 26.921 .724 -2.858 27.566
3 16 -.089 -2.749 28.987 .724 -2.858 27.566 -1.081 0 26.921
3 16 -.089 -2.749 28.987 -1.081 0 26.921 -2.139 0 28.809
3 16 .221 -4.89 28.834 .724 -2.858 27.566 -.089 -2.749 28.987
3 16 .221 -4.89 28.834 1.159 -4.726 27.458 .724 -2.858 27.566
3 16 4.056 -4.773 25.265 7 -3.082 23.708 3.545 -2.876 25.347
3 16 4.056 -4.773 25.265 7.586 -5.007 23.651 7 -3.082 23.708
3 16 12.394 -2.823 20.993 7 -3.082 23.708 7.586 -5.007 23.651
3 16 7 -3.082 23.708 12.394 -2.823 20.993 10.996 0 19.988
3 16 7 -3.082 23.708 10.996 0 19.988 5.529 0 22.668
3 16 14.284 0 17.586 10.996 0 19.988 12.394 -2.823 20.993
4 16 7 -3.082 23.708 5.529 0 22.668 1.907 0 24.505 3.545 -2.876 25.347
3 16 -6.28 -1.275 22.191 -5.707 0 23.004 -1.819 0 20.07
3 16 -5.707 0 23.004 -6.28 -1.275 22.191 -8.422 -1.305 25.532
3 16 -5.707 0 23.004 -8.422 -1.305 25.532 -7.845 0 26.097
3 16 -9.027 -3.827 25.149 -8.422 -1.305 25.532 -6.28 -1.275 22.191
3 16 -9.027 -3.827 25.149 -6.28 -1.275 22.191 -6.684 -3.717 21.607
3 16 -7.845 0 26.097 -8.422 -1.305 25.532 -9.376 -1.299 29.388
3 16 -7.845 0 26.097 -9.376 -1.299 29.388 -8.313 0 29.704
3 16 -8.515 -1.347 35.056 -8.313 0 29.704 -9.376 -1.299 29.388
3 16 -8.515 -1.347 35.056 -7.608 0 34.482 -8.313 0 29.704
3 16 -8.515 -1.347 35.056 -9.376 -1.299 29.388 -10.182 -3.901 29.205
3 16 -10.182 -3.901 29.205 -8.422 -1.305 25.532 -9.027 -3.827 25.149
3 16 -10.182 -3.901 29.205 -9.376 -1.299 29.388 -8.422 -1.305 25.532
3 16 -8.515 -1.347 35.056 -10.182 -3.901 29.205 -9.295 -3.87 35.515
3 16 .085 -5.019 30.552 .221 -4.89 28.834 -.089 -2.749 28.987
3 16 .085 -5.019 30.552 -.089 -2.749 28.987 -.1 -2.605 30.752
3 16 -.1 -2.605 30.752 -.089 -2.749 28.987 -2.139 0 28.809
3 16 -.1 -2.605 30.752 -2.139 0 28.809 -2.397 0 31.041
3 16 -4.418 -1.385 39.77 -7.608 0 34.482 -8.515 -1.347 35.056
3 16 -4.418 -1.385 39.77 -3.409 0 38.93 -7.608 0 34.482
3 16 -8.515 -1.347 35.056 -5.115 -3.625 40.431 -4.418 -1.385 39.77
3 16 -8.515 -1.347 35.056 -9.295 -3.87 35.515 -5.115 -3.625 40.431
4 16 .085 -5.019 30.552 -.1 -2.605 30.752 2.056 -2.315 34.027 2.179 -4.753 33.697
3 16 -.1 -2.605 30.752 .632 0 35.761 2.056 -2.315 34.027
3 16 -.1 -2.605 30.752 -2.397 0 31.041 .632 0 35.761
3 16 2.056 -2.315 34.027 7.72 -4.812 36.725 2.179 -4.753 33.697
3 16 2.056 -2.315 34.027 7.576 -1.919 37.315 7.72 -4.812 36.725
3 16 6.291 0 39.121 2.056 -2.315 34.027 .632 0 35.761
3 16 6.291 0 39.121 7.576 -1.919 37.315 2.056 -2.315 34.027
3 16 1.725 -3.67 44.367 -4.418 -1.385 39.77 -5.115 -3.625 40.431
3 16 1.725 -3.67 44.367 2.585 -1.637 43.745 -4.418 -1.385 39.77
3 16 -3.409 0 38.93 -4.418 -1.385 39.77 2.585 -1.637 43.745
3 16 -3.409 0 38.93 2.585 -1.637 43.745 4.114 0 42.75
3 16 6.642 -2.028 46.253 4.114 0 42.75 2.585 -1.637 43.745
3 16 6.642 -2.028 46.253 8.59 0 45.818 4.114 0 42.75
3 16 2.585 -1.637 43.745 5.782 -3.768 46.49 6.642 -2.028 46.253
3 16 2.585 -1.637 43.745 1.725 -3.67 44.367 5.782 -3.768 46.49
3 16 12.317 -4.765 39.617 7.72 -4.812 36.725 7.576 -1.919 37.315
3 16 12.317 -4.765 39.617 7.576 -1.919 37.315 12.091 -1.674 40.47
3 16 10.617 0 42.253 12.091 -1.674 40.47 7.576 -1.919 37.315
3 16 10.617 0 42.253 7.576 -1.919 37.315 6.291 0 39.121
3 16 12.091 -1.674 40.47 10.617 0 42.253 13.012 0 45.495
3 16 12.091 -1.674 40.47 13.012 0 45.495 15.542 -1.933 44.147
3 16 15.495 -.826 48.981 15.542 -1.933 44.147 13.012 0 45.495
3 16 15.495 -.826 48.981 16.973 -2.002 48.704 15.542 -1.933 44.147
3 16 16.126 -4.704 43.465 12.091 -1.674 40.47 15.542 -1.933 44.147
3 16 16.126 -4.704 43.465 12.317 -4.765 39.617 12.091 -1.674 40.47
4 16 16.973 -2.002 48.704 17.664 -4.595 48.437 16.126 -4.704 43.465 15.542 -1.933 44.147
3 16 7.324 -3.872 47.98 6.642 -2.028 46.253 5.782 -3.768 46.49
3 16 7.324 -3.872 47.98 7.871 -2.319 47.972 6.642 -2.028 46.253
3 16 6.642 -2.028 46.253 7.871 -2.319 47.972 8.933 -.835 47.956
3 16 6.642 -2.028 46.253 8.933 -.835 47.956 8.59 0 45.818
3 16 8.933 -.835 47.956 7.871 -2.319 47.972 8.216 -2.452 50.653
3 16 8.933 -.835 47.956 8.216 -2.452 50.653 9.111 -1.061 51.099
3 16 7.826 -4.038 50.436 7.871 -2.319 47.972 7.324 -3.872 47.98
3 16 7.826 -4.038 50.436 8.216 -2.452 50.653 7.871 -2.319 47.972
3 16 16.681 -4.528 53.784 17.664 -4.595 48.437 16.973 -2.002 48.704
3 16 16.681 -4.528 53.784 16.973 -2.002 48.704 16.145 -1.954 53.595
3 16 16.145 -1.954 53.595 16.973 -2.002 48.704 15.495 -.826 48.981
3 16 16.145 -1.954 53.595 15.495 -.826 48.981 14.749 -.709 53.19
4 16 7.826 -4.038 50.436 6.767 -4.08 52.375 7.138 -2.28 52.799 8.216 -2.452 50.653
3 16 9.111 -1.061 51.099 8.216 -2.452 50.653 7.138 -2.28 52.799
3 16 9.111 -1.061 51.099 7.138 -2.28 52.799 7.99 -.853 53.709
3 16 7.99 -.853 53.709 7.138 -2.28 52.799 6.089 -2.086 53.84
3 16 7.99 -.853 53.709 6.089 -2.086 53.84 6.83 -.769 54.925
3 16 5.675 -4.036 53.332 7.138 -2.28 52.799 6.767 -4.08 52.375
3 16 5.675 -4.036 53.332 6.089 -2.086 53.84 7.138 -2.28 52.799
3 16 13.606 -4.257 58.383 16.681 -4.528 53.784 16.145 -1.954 53.595
