0 Sticker  2.5 x  2.7 with Blue Markings on Dark Bluish Grey Background (Formed)
4 0 20.9641 -.25 -30.0378 21.961 -.25 -30.0378 22.8 -.25 -28.15 21.85 -.25 -28.1
4 0 11.55 -.25 -29.2 11.6024 -.25 -30.0378 12.1101 -.25 -30.0378 12.15 -.25 -28.9
4 0 10.9 -.25 -29.5 10.45 -.25 -29.85 10.5157 -.25 -30.0378 11.1264 -.25 -30.0378
4 0 10.45 -.25 -29.2 9.95 -.25 -29.45 10.2622 -.25 -30.0378 10.45 -.25 -29.85
3 0 10.2622 -.25 -30.0378 9.95 -.25 -29.45 9.5679 -.25 -30.0378
4 0 6.85 -.25 -27.4 5.2014 -.25 -30.0378 5.9429 -.25 -30.0378 7.7 -.25 -27.3
4 0 -21 -.0341 -32.2 -19.15 .2406 -34.95 -18.55 .1557 -34.1 -20.25 -.094 -31.6
4 0 -19.15 .2406 -34.95 -17.4 .4304 -36.85 -16.7 .3654 -36.2 -18.55 .1557 -34.1
4 0 -17.4 .4304 -36.85 -15.95 .5352 -37.9 -15.35 .4803 -37.35 -16.7 .3654 -36.2
4 0 -14.2 .6251 -38.8 -14.6 .5153 -37.7 -15.35 .4803 -37.35 -15.95 .5352 -37.9
4 0 -14.2 .6251 -38.8 -13.45 .4254 -36.8 -13.65 .2855 -35.4 -14.6 .5153 -37.7
4 0 -12.55 -.039 -32.15 -13.65 .2855 -35.4 -13.45 .4254 -36.8 -12.45 .1307 -33.85
3 0 -12.1101 -.25 -30.0378 -12.55 -.039 -32.15 -12.45 .1307 -33.85
3 0 -12.45 .1307 -33.85 -11.65 -.1739 -30.8 -12.1101 -.25 -30.0378
4 0 -8.8335 -.25 -30.0378 -5.95 .1857 -34.4 -5.2 .1857 -34.4 -8.0793 -.25 -30.0378
4 0 -7.75 .4453 -37 -8.3 .5952 -38.5 -5.2 .1857 -34.4 -5.95 .1857 -34.4
4 0 -8.3 .5952 -38.5 -7.75 .4453 -37 -7.95 .2106 -34.65 -8.25 .3954 -36.5
4 0 -8.25 .3954 -36.5 -7.95 .2106 -34.65 -8.5 .0059 -32.6 -8.55 .1657 -34.2
4 0 -8.55 .1657 -34.2 -8.5 .0059 -32.6 -9.3 -.2088 -30.45 -9.35 -.074 -31.8
3 0 -9.5679 -.25 -30.0378 -10 -.2238 -30.3 -9.35 -.074 -31.8
3 0 -9.35 -.074 -31.8 -9.3 -.2088 -30.45 -9.5679 -.25 -30.0378
4 0 -11.3 -.2088 -30.45 -11.95 .0558 -33.1 -11.45 .0908 -33.45 -10.8 -.1689 -30.85
4 0 -12.4 .4354 -36.9 -11.45 .0908 -33.45 -11.95 .0558 -33.1 -12.85 .3954 -36.5
4 0 -12.85 .3954 -36.5 -13.75 .6651 -39.2 -13.3943 .75 -40.0504 -12.4 .4354 -36.9
4 0 -1.9258 .75 -40.0504 -1.0779 .75 -40.0504 -3.7 .3954 -36.5 -3.8 .5252 -37.8
4 0 0 .6001 -38.55 0 .5153 -37.7 -2.15 .2356 -34.9 -2.8 .2256 -34.8
4 0 -2.8 .2256 -34.8 -2.15 .2356 -34.9 0 -.074 -31.8 0 -.1589 -30.95
4 0 -4 .0359 -32.9 -4 -.069 -31.85 -4.85 -.1939 -30.6 -5.55 -.1889 -30.65
4 0 -2.6647 -.25 -30.0378 -4 -.069 -31.85 -4 .0359 -32.9 -1.9152 -.25 -30.0378
4 0 -21.961 -.25 -30.0378 -21 -.0341 -32.2 -20.25 -.094 -31.6 -20.9641 -.25 -30.0378
3 0 -11.65 -.1739 -30.8 -11.6024 -.25 -30.0378 -12.1101 -.25 -30.0378
4 0 -11.1264 -.25 -30.0378 -11.3 -.2088 -30.45 -10.8 -.1689 -30.85 -10.5157 -.25 -30.0378
3 0 -10 -.2238 -30.3 -9.5679 -.25 -30.0378 -10.2622 -.25 -30.0378
4 0 -5.9429 -.25 -30.0378 -5.55 -.1889 -30.65 -4.85 -.1939 -30.6 -5.2014 -.25 -30.0378
3 0 -13.3943 .75 -40.0504 -13.75 .6651 -39.2 -13.9942 .75 -40.0504
3 0 -5.4125 .75 -40.0504 -3.8 .5252 -37.8 -6.1726 .75 -40.0504
3 0 -3.7 .3954 -36.5 -6.1726 .75 -40.0504 -3.8 .5252 -37.8
4 0 21 -.0341 -32.2 20.25 -.094 -31.6 18.55 .1557 -34.1 19.15 .2406 -34.95
4 0 19.15 .2406 -34.95 18.55 .1557 -34.1 16.7 .3654 -36.2 17.4 .4304 -36.85
4 0 17.4 .4304 -36.85 16.7 .3654 -36.2 15.35 .4803 -37.35 15.95 .5352 -37.9
4 0 14.2 .6251 -38.8 15.95 .5352 -37.9 15.35 .4803 -37.35 14.6 .5153 -37.7
4 0 14.2 .6251 -38.8 14.6 .5153 -37.7 13.65 .2855 -35.4 13.45 .4254 -36.8
4 0 13.45 .4254 -36.8 13.65 .2855 -35.4 12.55 -.039 -32.15 12.45 .1307 -33.85
3 0 11.65 -.1739 -30.8 12.45 .1307 -33.85 12.55 -.039 -32.15
4 0 5.2 .1857 -34.4 5.95 .1857 -34.4 8.8335 -.25 -30.0378 8.0793 -.25 -30.0378
4 0 5.2 .1857 -34.4 8.3 .5952 -38.5 7.75 .4453 -37 5.95 .1857 -34.4
4 0 7.95 .2106 -34.65 7.75 .4453 -37 8.3 .5952 -38.5 8.25 .3954 -36.5
4 0 8.25 .3954 -36.5 8.55 .1657 -34.2 8.5 .0059 -32.6 7.95 .2106 -34.65
4 0 8.55 .1657 -34.2 9.35 -.074 -31.8 9.3 -.2088 -30.45 8.5 .0059 -32.6
3 0 9.5679 -.25 -30.0378 9.3 -.2088 -30.45 9.35 -.074 -31.8
3 0 9.35 -.074 -31.8 10 -.2238 -30.3 9.5679 -.25 -30.0378
4 0 11.3 -.2088 -30.45 10.8 -.1689 -30.85 11.45 .0908 -33.45 11.95 .0558 -33.1
4 0 12.4 .4354 -36.9 12.85 .3954 -36.5 11.95 .0558 -33.1 11.45 .0908 -33.45
3 0 12.85 .3954 -36.5 12.4 .4354 -36.9 13.75 .6651 -39.2
4 0 13.9967 .75 -40.0504 13.75 .6651 -39.2 12.4 .4354 -36.9 13.3943 .75 -40.0504
4 0 1.9258 .75 -40.0504 3.8 .5252 -37.8 3.7 .3954 -36.5 1.0779 .75 -40.0504
4 0 0 .6001 -38.55 2.8 .2256 -34.8 2.15 .2356 -34.9 0 .5153 -37.7
4 0 2.8 .2256 -34.8 0 -.1589 -30.95 0 -.074 -31.8 2.15 .2356 -34.9
4 0 4 .0359 -32.9 5.55 -.1889 -30.65 4.85 -.1939 -30.6 4 -.069 -31.85
4 0 4 .0359 -32.9 4 -.069 -31.85 2.6647 -.25 -30.0378 1.9152 -.25 -30.0378
4 0 20.25 -.094 -31.6 21 -.0341 -32.2 21.961 -.25 -30.0378 20.9641 -.25 -30.0378
4 0 11.65 -.1739 -30.8 12.55 -.039 -32.15 12.1101 -.25 -30.0378 11.6024 -.25 -30.0378
4 0 10.5157 -.25 -30.0378 10.8 -.1689 -30.85 11.3 -.2088 -30.45 11.1264 -.25 -30.0378
3 0 10 -.2238 -30.3 10.2622 -.25 -30.0378 9.5679 -.25 -30.0378
4 0 5.2014 -.25 -30.0378 4.85 -.1939 -30.6 5.55 -.1889 -30.65 5.9429 -.25 -30.0378
4 0 5.4125 .75 -40.0504 6.1726 .75 -40.0504 3.7 .3954 -36.5 3.8 .5252 -37.8
4 0 -13.5978 2.35 -50.063 -12.8013 2.35 -50.063 -8.35 1.4051 -44.15 -12.2 2.0683 -48.3
3 0 -5.4125 .75 -40.0504 -7.6 1.0775 -42.1 -12.2 2.0683 -48.3
3 0 -12.2 2.0683 -48.3 -8.35 1.4051 -44.15 -5.4125 .75 -40.0504
4 0 -4.6 1.461 -44.5 -5.7 1.5329 -44.95 -8.9 2.1562 -48.85 -8.1 2.1242 -48.65
4 0 -10.113 2.35 -50.063 -9.3977 2.35 -50.063 -8.1 2.1242 -48.65 -8.9 2.1562 -48.85
4 0 -1.4 1.477 -44.6 -1.95 1.4211 -44.25 -2.9 1.7806 -46.5 -2.3 1.7886 -46.55
4 0 -1.95 1.4211 -44.25 -1.4 1.477 -44.6 -.65 1.2853 -43.4 -1.15 1.2054 -42.9
4 0 0 1.1654 -42.65 0 .9976 -41.6 -1.15 1.2054 -42.9 -.65 1.2853 -43.4
3 0 -15.6 1.9724 -47.7 -13.3943 .75 -40.0504 -13.9942 .75 -40.0504
4 0 -15.6 1.9724 -47.7 -13.9942 .75 -40.0504 -16.1 1.9085 -47.3 -16.3002 2.35 -50.063
3 0 -7.6 1.0775 -42.1 -5.4125 .75 -40.0504 -6.1726 .75 -40.0504
4 0 -1.9258 .75 -40.0504 -5.7 1.5329 -44.95 -4.6 1.461 -44.5 -1.0779 .75 -40.0504
4 0 -2.3 1.7886 -46.55 -2.9 1.7806 -46.5 -4.5258 2.35 -50.063 -3.8532 2.35 -50.063
3 0 -16.3002 2.35 -50.063 -16.1 1.9085 -47.3 -16.9341 2.35 -50.063
4 0 13.5978 2.35 -50.063 12.2 2.0683 -48.3 8.35 1.4051 -44.15 12.8013 2.35 -50.063
3 0 7.6 1.0775 -42.1 8.35 1.4051 -44.15 12.2 2.0683 -48.3
4 0 8.35 1.4051 -44.15 7.6 1.0775 -42.1 6.1726 .75 -40.0504 5.4125 .75 -40.0504
4 0 8.9 2.1562 -48.85 5.7 1.5329 -44.95 4.6 1.461 -44.5 8.1 2.1242 -48.65
4 0 8.1 2.1242 -48.65 9.3977 2.35 -50.063 10.113 2.35 -50.063 8.9 2.1562 -48.85
4 0 3.8532 2.35 -50.063 2.9 1.7806 -46.5 1.95 1.4211 -44.25 2.3 1.7886 -46.55
4 0 2.3 1.7886 -46.55 1.95 1.4211 -44.25 1.15 1.2054 -42.9 1.4 1.477 -44.6
4 0 1.4 1.477 -44.6 1.15 1.2054 -42.9 0 .9976 -41.6 .65 1.2853 -43.4
3 0 0 .9976 -41.6 0 1.1654 -42.65 .65 1.2853 -43.4
4 0 13.3943 .75 -40.0504 15.6 1.9724 -47.7 16.1 1.9085 -47.3 13.9967 .75 -40.0504
4 0 4.6 1.461 -44.5 5.7 1.5329 -44.95 1.9258 .75 -40.0504 1.0779 .75 -40.0504
3 0 4.5258 2.35 -50.063 2.9 1.7806 -46.5 3.8532 2.35 -50.063
4 0 15.6 1.9724 -47.7 16.3002 2.35 -50.063 16.9341 2.35 -50.063 16.1 1.9085 -47.3
4 0 -17.6 3.4974 -54.85 -17.2 3.078 -53.1 -17.7 2.9581 -52.6 -18.3 3.4615 -54.7
4 0 -18.1 3.857 -56.35 -17.6 3.4974 -54.85 -18.3 3.4615 -54.7 -18.35 3.6413 -55.45
4 0 -18.1 3.857 -56.35 -16.9 3.5574 -55.1 -16.6 3.2577 -53.85 -17.6 3.4974 -54.85
4 0 -16.6 3.2577 -53.85 -16.9 3.5574 -55.1 -12.8013 2.35 -50.063 -13.5978 2.35 -50.063
4 0 -10.35 2.5986 -51.1 -11.4 2.6585 -51.35 -13.45 3.1259 -53.3 -12.75 3.1739 -53.5
4 0 -15.35 3.6053 -55.3 -14.35 3.5454 -55.05 -12.75 3.1739 -53.5 -13.45 3.1259 -53.3
4 0 -15.35 3.6053 -55.3 -14.1 3.7252 -55.8 -12.95 3.6053 -55.3 -14.35 3.5454 -55.05
4 0 -10.5 3.6293 -55.4 -12.95 3.6053 -55.3 -14.1 3.7252 -55.8 -11.6 3.7851 -56.05
4 0 -11.6 3.7851 -56.05 -9.05 3.7491 -55.9 -8.65 3.5454 -55.05 -10.5 3.6293 -55.4
4 0 -9.05 3.7491 -55.9 -7.8 3.6652 -55.55 -7.55 3.4495 -54.65 -8.65 3.5454 -55.05
4 0 -7.8 3.6652 -55.55 -6.85 3.4974 -54.85 -6.4 3.1739 -53.5 -7.55 3.4495 -54.65
4 0 -5.25 2.7304 -51.65 -6.4 3.1739 -53.5 -6.85 3.4974 -54.85 -5.6 3.1739 -53.5
3 0 -4.5258 2.35 -50.063 -5.25 2.7304 -51.65 -5.6 3.1739 -53.5
3 0 -5.6 3.1739 -53.5 -4.4 2.6465 -51.3 -4.5258 2.35 -50.063
3 0 -4.4 2.6465 -51.3 -3.8532 2.35 -50.063 -4.5258 2.35 -50.063
4 0 -10.113 2.35 -50.063 -11.4 2.6585 -51.35 -10.35 2.5986 -51.1 -9.3977 2.35 -50.063
3 0 -17.2 3.078 -53.1 -16.3002 2.35 -50.063 -16.9341 2.35 -50.063
3 0 -16.9341 2.35 -50.063 -17.7 2.9581 -52.6 -17.2 3.078 -53.1
4 0 17.7 2.9581 -52.6 17.2 3.078 -53.1 17.6 3.4974 -54.85 18.3 3.4615 -54.7
4 0 18.1 3.857 -56.35 18.35 3.6413 -55.45 18.3 3.4615 -54.7 17.6 3.4974 -54.85
4 0 18.1 3.857 -56.35 17.6 3.4974 -54.85 16.6 3.2577 -53.85 16.9 3.5574 -55.1
4 0 12.8013 2.35 -50.063 16.9 3.5574 -55.1 16.6 3.2577 -53.85 13.5978 2.35 -50.063
4 0 10.35 2.5986 -51.1 12.75 3.1739 -53.5 13.45 3.1259 -53.3 11.4 2.6585 -51.35
4 0 12.75 3.1739 -53.5 14.35 3.5454 -55.05 15.35 3.6053 -55.3 13.45 3.1259 -53.3
4 0 12.95 3.6053 -55.3 14.1 3.7252 -55.8 15.35 3.6053 -55.3 14.35 3.5454 -55.05
4 0 14.1 3.7252 -55.8 12.95 3.6053 -55.3 10.5 3.6293 -55.4 11.6 3.7851 -56.05
4 0 8.65 3.5454 -55.05 9.05 3.7491 -55.9 11.6 3.7851 -56.05 10.5 3.6293 -55.4
4 0 7.55 3.4495 -54.65 7.8 3.6652 -55.55 9.05 3.7491 -55.9 8.65 3.5454 -55.05
4 0 6.4 3.1739 -53.5 6.85 3.4974 -54.85 7.8 3.6652 -55.55 7.55 3.4495 -54.65
4 0 5.25 2.7304 -51.65 5.6 3.1739 -53.5 6.85 3.4974 -54.85 6.4 3.1739 -53.5
3 0 4.5258 2.35 -50.063 4.4 2.6465 -51.3 5.6 3.1739 -53.5
3 0 5.6 3.1739 -53.5 5.25 2.7304 -51.65 4.5258 2.35 -50.063
3 0 4.4 2.6465 -51.3 4.5258 2.35 -50.063 3.8532 2.35 -50.063
4 0 10.35 2.5986 -51.1 11.4 2.6585 -51.35 10.113 2.35 -50.063 9.3977 2.35 -50.063
4 0 16.3002 2.35 -50.063 17.2 3.078 -53.1 17.7 2.9581 -52.6 16.9341 2.35 -50.063
3 1 -13.8405 -.25 -16.0201 -24.8964 -.25 -16.0201 -24.7167 -.25 -17.0214
4 1 -24.7167 -.25 -17.0214 -24.2 -.25 -19.9 -12.9 -.25 -18 -13.8405 -.25 -16.0201
4 1 -12.9 -.25 -18 -24.2 -.25 -19.9 -17.95 -.25 -25 -13.55 -.25 -21.75
4 1 -21.85 -.25 -28.1 -17.95 -.25 -25 -24.2 -.25 -19.9 -23.25 -.25 -23.9
4 1 -20.9641 -.25 -30.0378 -17.9 -.25 -25.5 -17.95 -.25 -25 -21.85 -.25 -28.1
4 1 -14.85 -.25 -26.1 -16.45 -.25 -25.75 -17.9 -.25 -25.5 -20.9641 -.25 -30.0378
4 1 -14.85 -.25 -26.1 -20.9641 -.25 -30.0378 -12.65 -.25 -27.65 -13.5 -.25 -26.7
4 1 -12.1101 -.25 -30.0378 -12.15 -.25 -28.9 -12.65 -.25 -27.65 -20.9641 -.25 -30.0378
3 1 -10.45 -.25 -29.85 -10.5157 -.25 -30.0378 -10.2622 -.25 -30.0378
4 1 -12.9 -.25 -18 -13.55 -.25 -21.75 -8.0793 -.25 -30.0378 -10.7 -.25 -22
3 1 -10.7 -.25 -22 -8.0793 -.25 -30.0378 -7.7 -.25 -27.3
3 1 -7.7 -.25 -27.3 -8.0793 -.25 -30.0378 -5.9429 -.25 -30.0378
4 1 12.9 -.25 -18 24.2 -.25 -19.9 24.8964 -.25 -16.0201 13.8405 -.25 -16.0201
4 1 17.95 -.25 -25 24.2 -.25 -19.9 12.9 -.25 -18 13.55 -.25 -21.75
4 1 24.2 -.25 -19.9 17.95 -.25 -25 21.85 -.25 -28.1 23.25 -.25 -23.9
4 1 20.9641 -.25 -30.0378 21.85 -.25 -28.1 17.95 -.25 -25 17.9 -.25 -25.5
4 1 14.85 -.25 -26.1 20.9641 -.25 -30.0378 17.9 -.25 -25.5 16.45 -.25 -25.75
4 1 12.65 -.25 -27.65 20.9641 -.25 -30.0378 14.85 -.25 -26.1 13.5 -.25 -26.7
4 1 12.65 -.25 -27.65 12.15 -.25 -28.9 12.1101 -.25 -30.0378 20.9641 -.25 -30.0378
3 1 10.45 -.25 -29.85 10.2622 -.25 -30.0378 10.5157 -.25 -30.0378
4 1 12.9 -.25 -18 10.7 -.25 -22 8.0793 -.25 -30.0378 13.55 -.25 -21.75
3 1 10.7 -.25 -22 7.7 -.25 -27.3 8.0793 -.25 -30.0378
3 1 7.7 -.25 -27.3 5.9429 -.25 -30.0378 8.0793 -.25 -30.0378
3 1 1.9152 -.25 -30.0378 -1.05 -.25 -28.85 -1.9152 -.25 -30.0378
4 1 -7.7 -.25 -17.7 7.7 -.25 -17.7 8.5894 -.25 -16.0201 -8.5894 -.25 -16.0201
4 1 7.7 -.25 -17.7 -7.7 -.25 -17.7 -6.15 -.25 -20.4 6.15 -.25 -20.4
4 1 3.6 -.25 -24.65 6.15 -.25 -20.4 -6.15 -.25 -20.4 -3.6 -.25 -24.65
3 1 3.6 -.25 -24.65 -3.6 -.25 -24.65 1.05 -.25 -28.85
4 1 1.9152 -.25 -30.0378 1.05 -.25 -28.85 -3.6 -.25 -24.65 -1.05 -.25 -28.85
4 1 -20.9641 -.25 -30.0378 -20.25 -.094 -31.6 -12.55 -.039 -32.15 -12.1101 -.25 -30.0378
4 1 -13.65 .2855 -35.4 -12.55 -.039 -32.15 -20.25 -.094 -31.6 -18.55 .1557 -34.1
4 1 -18.55 .1557 -34.1 -16.7 .3654 -36.2 -15.35 .4803 -37.35 -13.65 .2855 -35.4
3 1 -13.65 .2855 -35.4 -15.35 .4803 -37.35 -14.6 .5153 -37.7
4 1 -10.5157 -.25 -30.0378 -10.8 -.1689 -30.85 -10 -.2238 -30.3 -10.2622 -.25 -30.0378
4 1 -11.45 .0908 -33.45 -9.35 -.074 -31.8 -10 -.2238 -30.3 -10.8 -.1689 -30.85
4 1 -9.35 -.074 -31.8 -11.45 .0908 -33.45 -8.25 .3954 -36.5 -8.55 .1657 -34.2
4 1 -8.3 .5952 -38.5 -8.25 .3954 -36.5 -11.45 .0908 -33.45 -12.4 .4354 -36.9
4 1 -12.4 .4354 -36.9 -13.3943 .75 -40.0504 -6.1726 .75 -40.0504 -8.3 .5952 -38.5
4 1 -8.3 .5952 -38.5 -6.1726 .75 -40.0504 -3.7 .3954 -36.5 -5.2 .1857 -34.4
4 1 -5.2 .1857 -34.4 -3.7 .3954 -36.5 -2.8 .2256 -34.8 -4 .0359 -32.9
3 1 -1.9152 -.25 -30.0378 -4 .0359 -32.9 -2.8 .2256 -34.8
3 1 -2.8 .2256 -34.8 0 -.1589 -30.95 -1.9152 -.25 -30.0378
4 1 -8.0793 -.25 -30.0378 -5.2 .1857 -34.4 -5.55 -.1889 -30.65 -5.9429 -.25 -30.0378
3 1 -5.55 -.1889 -30.65 -5.2 .1857 -34.4 -4 .0359 -32.9
3 1 -2.8 .2256 -34.8 -3.7 .3954 -36.5 -1.0779 .75 -40.0504
4 1 12.1101 -.25 -30.0378 12.55 -.039 -32.15 20.25 -.094 -31.6 20.9641 -.25 -30.0378
4 1 20.25 -.094 -31.6 12.55 -.039 -32.15 13.65 .2855 -35.4 18.55 .1557 -34.1
4 1 15.35 .4803 -37.35 16.7 .3654 -36.2 18.55 .1557 -34.1 13.65 .2855 -35.4
3 1 13.65 .2855 -35.4 14.6 .5153 -37.7 15.35 .4803 -37.35
4 1 10 -.2238 -30.3 10.8 -.1689 -30.85 10.5157 -.25 -30.0378 10.2622 -.25 -30.0378
4 1 11.45 .0908 -33.45 10.8 -.1689 -30.85 10 -.2238 -30.3 9.35 -.074 -31.8
4 1 8.25 .3954 -36.5 11.45 .0908 -33.45 9.35 -.074 -31.8 8.55 .1657 -34.2
4 1 11.45 .0908 -33.45 8.25 .3954 -36.5 8.3 .5952 -38.5 12.4 .4354 -36.9
4 1 6.1726 .75 -40.0504 13.3943 .75 -40.0504 12.4 .4354 -36.9 8.3 .5952 -38.5
4 1 8.3 .5952 -38.5 5.2 .1857 -34.4 3.7 .3954 -36.5 6.1726 .75 -40.0504
4 1 5.2 .1857 -34.4 4 .0359 -32.9 2.8 .2256 -34.8 3.7 .3954 -36.5
3 1 1.9152 -.25 -30.0378 0 -.1589 -30.95 2.8 .2256 -34.8
3 1 2.8 .2256 -34.8 4 .0359 -32.9 1.9152 -.25 -30.0378
4 1 5.9429 -.25 -30.0378 5.55 -.1889 -30.65 5.2 .1857 -34.4 8.0793 -.25 -30.0378
3 1 5.55 -.1889 -30.65 4 .0359 -32.9 5.2 .1857 -34.4
4 1 0 .6001 -38.55 1.0779 .75 -40.0504 3.7 .3954 -36.5 2.8 .2256 -34.8
4 1 -2.8 .2256 -34.8 -1.0779 .75 -40.0504 1.0779 .75 -40.0504 0 .6001 -38.55
3 1 0 -.1589 -30.95 1.9152 -.25 -30.0378 -1.9152 -.25 -30.0378
3 1 0 .9976 -41.6 -1.0779 .75 -40.0504 -4.6 1.461 -44.5
3 1 -4.6 1.461 -44.5 -1.15 1.2054 -42.9 0 .9976 -41.6
3 1 -1.15 1.2054 -42.9 -4.6 1.461 -44.5 -1.95 1.4211 -44.25
4 1 -1.95 1.4211 -44.25 -4.6 1.461 -44.5 -8.1 2.1242 -48.65 -2.9 1.7806 -46.5
4 1 -9.3977 2.35 -50.063 -4.5258 2.35 -50.063 -2.9 1.7806 -46.5 -8.1 2.1242 -48.65
4 1 -16.3002 2.35 -50.063 -13.5978 2.35 -50.063 -12.2 2.0683 -48.3 -15.6 1.9724 -47.7
