0 Panel Ramp Curved  8 x 12 x  6
0 Name: 43085.dat
0 Author: Philippe Hurbain [Philo]
0 !LDRAW_ORG Part UPDATE 2020-02
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 !HELP The ramp is a segment of cylinder: center 0 -110 -220; radius 230
0 BFC INVERTNEXT
1 16 0 132 -196 0 0 76 -12 0 0 0 52 0 box3u7a.dat
1 16 -20 138 -210 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 -20 138 -210 1 0 0 0 1 0 0 0 1 cylj4x8.dat
1 16 -20 130 -210 1 0 0 0 0 1 0 -1 0 connhol2.dat
1 16 -20 130 -220 9 0 0 0 0 9 0 1 0 4-4ndis.dat
1 16 0 138 -210 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 0 138 -210 1 0 0 0 1 0 0 0 1 cylj4x8.dat
1 16 0 130 -210 1 0 0 0 0 1 0 -1 0 connhol2.dat
1 16 0 130 -220 9 0 0 0 0 9 0 1 0 4-4ndis.dat
1 16 20 138 -210 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 20 138 -210 1 0 0 0 1 0 0 0 1 cylj4x8.dat
1 16 20 130 -210 1 0 0 0 0 1 0 -1 0 connhol2.dat
1 16 20 130 -220 9 0 0 0 0 9 0 1 0 4-4ndis.dat
1 16 -20 130 -204 8 0 0 0 0 8 0 -12 0 2-4cylo.dat
1 16 0 130 -204 8 0 0 0 0 8 0 -12 0 2-4cylo.dat
1 16 20 130 -204 8 0 0 0 0 8 0 -12 0 2-4cylo.dat
0 BFC INVERTNEXT
1 16 10 130 -210 2 0 0 0 -6 0 0 0 6 box5-4a.dat
0 BFC INVERTNEXT
1 16 -10 130 -210 2 0 0 0 -6 0 0 0 6 box5-4a.dat
0 BFC INVERTNEXT
1 16 32 134 -210 0 0 4 0 -10 0 -6 0 0 box2-5.dat
0 BFC INVERTNEXT
1 16 -32 134 -210 0 0 -4 0 -10 0 6 0 0 box2-5.dat
1 16 28 127 -210 0 -1 0 -3 0 0 0 0 -6 rect2p.dat
1 16 -28 127 -210 0 1 0 -3 0 0 0 0 6 rect2p.dat
1 16 20 130 -204 8 0 0 0 0 8 0 1 0 2-4ndis.dat
1 16 20 130 -216 8 0 0 0 0 8 0 -1 0 2-4ndis.dat
1 16 0 130 -204 8 0 0 0 0 8 0 1 0 2-4ndis.dat
1 16 0 130 -216 8 0 0 0 0 8 0 -1 0 2-4ndis.dat
1 16 -20 130 -204 8 0 0 0 0 8 0 1 0 2-4ndis.dat
1 16 -20 130 -216 8 0 0 0 0 8 0 -1 0 2-4ndis.dat
1 16 -20 18 10 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 -20 18 10 1 0 0 0 1 0 0 0 1 cylj4x8.dat
1 16 -20 10 10 1 0 0 0 0 1 0 1 0 connhol2.dat
1 16 -20 10 20 9 0 0 0 0 9 0 -1 0 4-4ndis.dat
1 16 0 18 10 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 0 18 10 1 0 0 0 1 0 0 0 1 cylj4x8.dat
1 16 0 10 10 1 0 0 0 0 1 0 1 0 connhol2.dat
1 16 0 10 20 9 0 0 0 0 9 0 -1 0 4-4ndis.dat
1 16 20 18 10 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 20 18 10 1 0 0 0 1 0 0 0 1 cylj4x8.dat
1 16 20 10 10 1 0 0 0 0 1 0 1 0 connhol2.dat
1 16 20 10 20 9 0 0 0 0 9 0 -1 0 4-4ndis.dat
1 16 -20 10 16 8 0 0 0 0 8 0 -12 0 2-4cylo.dat
1 16 0 10 16 8 0 0 0 0 8 0 -12 0 2-4cylo.dat
1 16 20 10 16 8 0 0 0 0 8 0 -12 0 2-4cylo.dat
0 BFC INVERTNEXT
1 16 10 10 10 2 0 0 0 -6 0 0 0 6 box5-4a.dat
0 BFC INVERTNEXT
1 16 -10 10 10 2 0 0 0 -6 0 0 0 6 box5-4a.dat
1 16 28 7 10 0 -1 0 0 0 -3 -6 0 0 rect3.dat
1 16 -28 7 10 0 1 0 0 0 -3 -6 0 0 rect3.dat
1 16 20 10 16 8 0 0 0 0 8 0 1 0 2-4ndis.dat
1 16 20 10 4 8 0 0 0 0 8 0 -1 0 2-4ndis.dat
1 16 0 10 16 8 0 0 0 0 8 0 1 0 2-4ndis.dat
1 16 0 10 4 8 0 0 0 0 8 0 -1 0 2-4ndis.dat
1 16 -20 10 16 8 0 0 0 0 8 0 1 0 2-4ndis.dat
1 16 -20 10 4 8 0 0 0 0 8 0 -1 0 2-4ndis.dat
0 BFC INVERTNEXT
1 16 -20 21 0 0 0 8 -3 0 0 0 2 0 box3u5p.dat
0 BFC INVERTNEXT
1 16 0 21 0 0 0 8 -3 0 0 0 2 0 box3u5p.dat
0 BFC INVERTNEXT
1 16 20 21 0 0 0 8 -3 0 0 0 2 0 box3u5p.dat
1 16 -10 14 1 2 0 0 0 0 10 0 -1 0 box2-11.dat
1 16 10 14 1 2 0 0 0 0 10 0 -1 0 box2-11.dat
1 16 -20 10 0 8 0 0 0 0 -8 0 1 0 2-4ndis.dat
1 16 0 10 0 8 0 0 0 0 -8 0 1 0 2-4ndis.dat
1 16 20 10 0 8 0 0 0 0 -8 0 1 0 2-4ndis.dat
0 BFC INVERTNEXT
1 16 -70 123.841 -210 10 0 0 0 5.159 0 0 0 10 box2-5.dat
0 BFC INVERTNEXT
1 16 70 123.841 -210 10 0 0 0 5.159 0 0 0 10 box2-5.dat
1 16 -69.5 128.5 -209.5 -9.5 0 0 0 -.5 0 0 0 -9.5 box3-3.dat
1 16 69.5 128.5 -209.5 0 0 9.5 0 -.5 0 -9.5 0 0 box3-3.dat
1 16 -70 132 -210 0 0 -10 3 0 0 0 -10 0 box2-9.dat
1 16 70 132 -210 0 10 0 3 0 0 0 0 -10 box2-9.dat
1 16 -59.5 135.5 -209.5 0 0 -19.5 0.5 0 0 0 -9.5 0 box2-5.dat
1 16 59.5 135.5 -209.5 0 19.5 0 0.5 0 0 0 0 -9.5 box2-5.dat
1 16 -60 130 -210 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 -60 124 -210 4 0 0 0 6 0 0 0 4 1-8cyli.dat
1 16 -60 124 -210 4 0 0 0 6 0 0 0 -4 1-8cyli.dat
1 16 -60 124 -210 4 0 0 0 1 0 0 0 4 1-8edge.dat
1 16 -60 124 -210 4 0 0 0 1 0 0 0 -4 1-8edge.dat
1 16 -60 130 -210 -4 0 0 0 1 0 0 0 -4 3-8edge.dat
1 16 -60 130 -210 -4 0 0 0 1 0 0 0 4 3-8edge.dat
1 16 60 130 -210 1 0 0 0 -1.5 0 0 0 1 stud3a.dat
1 16 60 124 -210 -4 0 0 0 6 0 0 0 -4 1-8cyli.dat
1 16 60 124 -210 -4 0 0 0 6 0 0 0 4 1-8cyli.dat
1 16 60 124 -210 -4 0 0 0 1 0 0 0 -4 1-8edge.dat
1 16 60 124 -210 -4 0 0 0 1 0 0 0 4 1-8edge.dat
1 16 60 130 -210 4 0 0 0 1 0 0 0 4 3-8edge.dat
1 16 60 130 -210 4 0 0 0 1 0 0 0 -4 3-8edge.dat
0 BFC INVERTNEXT
1 16 -48.5 130 -208 8.5 0 0 0 -6 0 0 0 8 box5-4a.dat
0 BFC INVERTNEXT
1 16 48.5 130 -208 8.5 0 0 0 -6 0 0 0 8 box5-4a.dat
0 BFC INVERTNEXT
1 16 -66.5 136 -208 0 0 -9.5 0 -6 0 8 0 0 box4-7a.dat
0 BFC INVERTNEXT
1 16 66.5 136 -208 0 0 9.5 0 -6 0 8 0 0 box4-7a.dat
0 BFC INVERTNEXT
1 16 -57 133 -208 0 17 0 3 0 0 0 0 8 box3u10p.dat
0 BFC INVERTNEXT
1 16 57 133 -208 0 -17 0 3 0 0 0 0 8 box3u10p.dat
0 BFC INVERTNEXT
1 16 -48.5 140 -208 0 8.5 0 4 0 0 0 0 8 box2-9.dat
0 BFC INVERTNEXT
1 16 48.5 140 -208 0 -8.5 0 4 0 0 0 0 8 box2-9.dat
0 BFC INVERTNEXT
1 16 -20 141 -200 0 0 8 -3 0 0 0 -2 0 box3u5p.dat
0 BFC INVERTNEXT
1 16 0 141 -200 0 0 8 -3 0 0 0 -2 0 box3u5p.dat
0 BFC INVERTNEXT
1 16 20 141 -200 0 0 8 -3 0 0 0 -2 0 box3u5p.dat
1 16 -20 130 -200 8 0 0 0 0 -8 0 -1 0 2-4ndis.dat
1 16 0 130 -200 8 0 0 0 0 -8 0 -1 0 2-4ndis.dat
1 16 20 130 -200 8 0 0 0 0 -8 0 -1 0 2-4ndis.dat
1 16 -30 132 -200 -1 0 0 0 0 12 0 4 0 box4-2p.dat
1 16 -10 132 -200 -1 0 0 0 0 12 0 4 0 box4-2p.dat
1 16 10 132 -200 -1 0 0 0 0 12 0 4 0 box4-2p.dat
1 16 30 132 -200 -1 0 0 0 0 12 0 4 0 box4-2p.dat
0 BFC INVERTNEXT
1 16 -33.5 132 -198 0 0 -2.5 0 -12 0 -2 0 0 box3-7a.dat
0 BFC INVERTNEXT
1 16 33.5 132 -198 0 0 2.5 0 -12 0 -2 0 0 box3-7a.dat
1 16 -56 132 -196 20 0 0 0 0 12 0 -1 0 rect.dat
1 16 56 132 -196 20 0 0 0 0 12 0 -1 0 rect.dat
1 16 -70 133 -200 -1 0 0 0 0 3 0 -4 0 box4-1.dat
1 16 -50 130 -200 -1 0 0 0 0 6 0 -4 0 box4-1.dat
1 16 50 130 -200 -1 0 0 0 0 6 0 -4 0 box4-1.dat
1 16 70 133 -200 -1 0 0 0 0 3 0 -4 0 box4-1.dat
1 16 -40 130 -210 0 -4 0 0 0 6 1 0 0 box4-1.dat
1 16 40 130 -210 0 4 0 0 0 6 1 0 0 box4-1.dat
0 BFC INVERTNEXT
1 16 52 14 10 0 24 0 0 0 -10 -6 0 0 box2-7.dat
0 BFC INVERTNEXT
1 16 -52 14 10 0 -24 0 0 0 -10 -6 0 0 box2-7.dat
1 16 0 24 10 76 0 0 0 1 0 0 0 6 recte4.dat
1 16 0 24 7.6465 80 0 0 0 1 0 0 0 12.3535 recte3.dat
1 16 -60 4 10 1 0 0 0 -5 0 0 0 1 stud3a.dat
1 16 -40 4 10 1 0 0 0 -5 0 0 0 1 stud3a.dat
1 16 40 4 10 1 0 0 0 -5 0 0 0 1 stud3a.dat
1 16 60 4 10 1 0 0 0 -5 0 0 0 1 stud3a.dat
1 16 -60 4 10 4 0 0 0 1 0 0 0 4 4-4edge.dat
1 16 -40 4 10 4 0 0 0 1 0 0 0 4 4-4edge.dat
1 16 40 4 10 4 0 0 0 1 0 0 0 4 4-4edge.dat
1 16 60 4 10 4 0 0 0 1 0 0 0 4 4-4edge.dat
1 16 0 72 -40 20 0 0 0 -1 0 0 0 20 recte4.dat
1 16 0 72 -40 16 0 0 0 -1 0 0 0 16 recte4.dat
1 16 0 48.0136 -40 1 0 0 0 -5.9966 0 0 0 1 stud4a.dat
0 BFC INVERTNEXT
1 16 0 48.0136 -40 6 0 0 0 -2.2781 0 0 0 6 4-4cyli.dat
0 BFC INVERTNEXT
1 16 0 45.7355 -40 0 0 -6 0 -6.9 0 -6 0 0 2-4cyls.dat
0 BFC INVERTNEXT
1 16 0 45.7355 -40 0 0 6 0 -6.9 0 -6 0 0 2-4cyls.dat
1 16 0 48.0136 -40 0 0 -8 0 -9.55 0 -8 0 0 2-4cyls.dat
1 16 0 48.0136 -40 0 0 8 0 -9.55 0 -8 0 0 2-4cyls.dat
1 16 0 44.4784 -24 16 0 0 0 0 -27.5216 0 1 0 rect3.dat
1 16 0 64.3722 -56 16 0 0 0 0 -7.6278 0 -1 0 rect3.dat
1 16 0 41.4812 -20 20 0 0 0 0 -30.5188 0 -1 0 rect3.dat
1 16 0 66.12805 -60 20 0 0 0 0 -5.87195 0 1 0 rect3.dat
1 16 0 115.3932 -144 76 0 0 0 0 -4.6068 0 1 0 rect3.dat
1 16 0 5.1394 -17 77 0 0 0 0 1.1394 0 -1 0 rect.dat
1 16 0 119.9668 -140 77 0 0 0 0 -10.5363 0 -1 0 rect3.dat
1 16 0 1.6694 -20 80 0 0 0 0 1.6694 0 1 0 rect3.dat
1 16 -60 4 10 0 0 1 0 15 0 -6 0 0 box3u2p.dat
1 16 -40 4 10 0 0 1 0 15 0 -6 0 0 box3u2p.dat
1 16 40 4 10 0 0 1 0 15 0 -6 0 0 box3u2p.dat
1 16 60 4 10 0 0 1 0 15 0 -6 0 0 box3u2p.dat
0 // Ramp
0 // Faces
4 16 80 112.157 -160.476 -80 112.157 -160.476 -80 118.022 -189.985 80 118.022 -189.985
4 16 80 102.497 -131.979 -80 102.497 -131.979 -80 112.157 -160.476 80 112.157 -160.476
4 16 80 89.18 -105 -80 89.18 -105 -80 102.497 -131.979 80 102.497 -131.979
4 16 80 72.482 -79.976 -80 72.482 -79.976 -80 89.18 -105 80 89.18 -105
4 16 80 52.633 -56.367 -80 52.633 -56.367 -80 72.482 -79.976 80 72.482 -79.976
4 16 80 30.024 -37.518 -80 30.024 -37.518 -80 52.633 -56.367 80 52.633 -56.367
4 16 80 5 -20.82 -80 5 -20.82 -80 30.024 -37.518 80 30.024 -37.518
4 16 80 5 -20.82 80 3.3388 -20 -80 3.3388 -20 -80 5 -20.82
3 16 80 118.682 -200 80 118.022 -189.985 60 118.682 -200
3 16 -60 118.682 -200 -80 118.022 -189.985 -80 118.682 -200
4 16 60 118.682 -200 80 118.022 -189.985 -80 118.022 -189.985 -60 118.682 -200
4 16 60 120 -220 60 118.682 -200 -60 118.682 -200 -60 120 -220
0 // Conditional lines
5 24 -80 118.022 -189.985 80 118.022 -189.985 -60 120 -220 -80 112.157 -160.476
5 24 -80 112.157 -160.476 80 112.157 -160.476 -80 118.022 -189.985 -80 102.497 -131.979
5 24 -80 102.497 -131.979 80 102.497 -131.979 -80 112.157 -160.476 -80 89.18 -105
5 24 -80 89.18 -105 80 89.18 -105 -80 102.497 -131.979 -80 72.482 -79.976
5 24 -80 72.482 -79.976 80 72.482 -79.976 -80 89.18 -105 -80 52.633 -56.367
5 24 -80 52.633 -56.367 80 52.633 -56.367 -80 72.482 -79.976 -80 30.024 -37.518
5 24 -80 30.024 -37.518 80 30.024 -37.518 -80 52.633 -56.367 -80 5 -20.82
5 24 -80 5 -20.82 80 5 -20.82 -80 30.024 -37.518 -80 3.3388 -20
0 // Underside stud with box
0 // Faces
4 16 -20 72 -20 -20 72 -60 -20 60.2561 -60 -20 10.9624 -20
4 16 20 60.2561 -60 20 72 -60 20 72 -20 20 10.9624 -20
4 16 -16 56.7444 -56 -16 72 -56 -16 72 -24 -16 16.9568 -24
4 16 16 72 -24 16 72 -56 16 56.7444 -56 16 16.9568 -24
4 16 16 72 -24 -16 72 -24 -20 72 -20 20 72 -20
4 16 20 72 -60 -20 72 -60 -16 72 -56 16 72 -56
4 16 -20 72 -60 -20 72 -20 -16 72 -24 -16 72 -56
4 16 16 72 -56 16 72 -24 20 72 -20 20 72 -60
0 // Edges
2 24 0 45.7355 -46 -2.2962 45.2154 -45.5434
2 24 -2.2962 45.2154 -45.5434 -4.2426 43.7338 -44.2426
2 24 -4.2426 43.7338 -44.2426 -5.5434 41.5167 -42.2962
2 24 -5.5434 41.5167 -42.2962 -6 38.9012 -40
2 24 -6 38.9012 -40 -5.5434 36.2857 -37.7038
2 24 -5.5434 36.2857 -37.7038 -4.2426 34.0687 -35.7574
2 24 -4.2426 34.0687 -35.7574 -2.2962 32.587 -34.4566
2 24 -2.2962 32.587 -34.4566 -1.732 32.4592 -34.3444
2 24 -1.732 32.4592 -34.3444 0 31.9431 -34
2 24 0 31.9431 -34 1.732 32.4592 -34.3444
2 24 1.732 32.4592 -34.3444 2.2962 32.587 -34.4566
2 24 2.2962 32.587 -34.4566 4.2426 34.0687 -35.7574
2 24 4.2426 34.0687 -35.7574 5.5434 36.2857 -37.7038
2 24 5.5434 36.2857 -37.7038 6 38.9012 -40
2 24 6 38.9012 -40 5.5434 41.5167 -42.2962
2 24 5.5434 41.5167 -42.2962 4.2426 43.7338 -44.2426
2 24 4.2426 43.7338 -44.2426 2.2962 45.2154 -45.5434
2 24 2.2962 45.2154 -45.5434 0 45.7355 -46
2 24 0 48.0136 -48 -3.0616 47.3202 -47.3912
2 24 -3.0616 47.3202 -47.3912 -5.6568 45.3446 -45.6568
2 24 -5.6568 45.3446 -45.6568 -7.3912 42.3885 -43.0616
2 24 -7.3912 42.3885 -43.0616 -8 38.9012 -40
2 24 -8 38.9012 -40 -7.3912 35.4139 -36.9384
2 24 -7.3912 35.4139 -36.9384 -5.6576 32.4592 -34.3444
2 24 -5.6576 32.4592 -34.3444 -5.6568 32.4574 -34.3432
2 24 -5.6568 32.4574 -34.3432 -3.0616 29.8582 -32.6088
2 24 -3.0616 29.8582 -32.6088 0 28.9458 -32
2 24 0 28.9458 -32 3.0616 29.8582 -32.6088
2 24 3.0616 29.8582 -32.6088 5.6568 32.4574 -34.3432
2 24 5.6568 32.4574 -34.3432 5.6576 32.4592 -34.3444
2 24 5.6576 32.4592 -34.3444 7.3912 35.4139 -36.9384
2 24 7.3912 35.4139 -36.9384 8 38.9012 -40
2 24 8 38.9012 -40 7.3912 42.3885 -43.0616
2 24 7.3912 42.3885 -43.0616 5.6568 45.3446 -45.6568
2 24 5.6568 45.3446 -45.6568 3.0616 47.3202 -47.3912
2 24 3.0616 47.3202 -47.3912 0 48.0136 -48
2 24 16 16.9568 -24 16 32.4592 -34.3444
2 24 16 32.4592 -34.3444 16 55.4614 -54.5386
2 24 16 55.4614 -54.5386 16 56.7444 -56
2 24 -16 16.9568 -24 -16 32.4592 -34.3444
2 24 -16 32.4592 -34.3444 -16 55.4614 -54.5386
2 24 -16 55.4614 -54.5386 -16 56.7444 -56
2 24 -20 10.9624 -20 -20 32.4592 -34.3444
2 24 -20 32.4592 -34.3444 -20 55.4614 -54.5386
2 24 -20 55.4614 -54.5386 -20 60.2561 -60
2 24 20 10.9624 -20 20 32.4592 -34.3444
2 24 20 32.4592 -34.3444 20 55.4614 -54.5386
2 24 20 55.4614 -54.5386 20 60.2561 -60
0 // Rear connection holes
0 // Faces
3 16 -77 24 0 -28 24 0 -28 10 0
4 16 -77 24 0 -28 10 0 -28 4 0 -77 4 0
3 16 77 24 0 28 10 0 28 24 0
4 16 77 24 0 77 4 0 28 4 0 28 10 0
4 16 28 4 0 -28 4 0 -28 2 0 28 2 0
4 16 -29 19 20 29 19 20 80 24 20 -80 24 20
4 16 80 24 20 29 19 20 29 1 20 80 0 20
4 16 -29 1 20 -29 19 20 -80 24 20 -80 0 20
4 16 9 1 20 11 1 20 11 19 20 9 19 20
4 16 -11 1 20 -9 1 20 -9 19 20 -11 19 20
4 16 -29 1 20 -80 0 20 80 0 20 29 1 20
0 // Edges
2 24 77 24 -4.707 77 24 0
2 24 77 24 0 28 24 0
2 24 77 24 0 77 4 0
2 24 77 4 0 -77 4 0
2 24 -28 24 0 -77 24 0
2 24 -77 24 0 -77 4 0
2 24 -77 24 0 -77 24 -4.707
2 24 -77 4 -17 -77 4 0
2 24 77 4 -17 77 4 0
2 24 -80 24 20 -80 0 20
2 24 80 24 20 80 0 20
0 // Front connection holes
0 // Faces
3 16 -28 144 -200 -29 144 -200 -28 138 -200
3 16 -28 122 -200 -28 130 -200 -29 120 -200
4 16 -29 144 -200 -29 120 -200 -28 130 -200 -28 138 -200
4 16 -11 144 -200 -12 138 -200 -12 130 -200 -11 120 -200
3 16 -11 144 -200 -12 144 -200 -12 138 -200
3 16 -11 120 -200 -12 130 -200 -12 122 -200
4 16 -12 122 -200 -28 122 -200 -29 120 -200 -11 120 -200
3 16 -8 122 -200 -8 130 -200 -9 120 -200
3 16 -8 144 -200 -9 144 -200 -8 138 -200
4 16 -9 144 -200 -9 120 -200 -8 130 -200 -8 138 -200
3 16 9 144 -200 8 144 -200 8 138 -200
3 16 9 120 -200 8 130 -200 8 122 -200
4 16 9 144 -200 8 138 -200 8 130 -200 9 120 -200
4 16 8 122 -200 -8 122 -200 -9 120 -200 9 120 -200
3 16 29 144 -200 28 144 -200 28 138 -200
3 16 29 120 -200 28 130 -200 28 122 -200
4 16 29 144 -200 28 138 -200 28 130 -200 29 120 -200
4 16 12 122 -200 11 120 -200 29 120 -200 28 122 -200
4 16 11 120 -200 12 130 -200 12 138 -200 11 144 -200
3 16 12 144 -200 11 144 -200 12 138 -200
3 16 12 122 -200 12 130 -200 11 120 -200
3 16 -60 120 -220 -60 129 -220 -29 121 -220
3 16 60 120 -220 29 121 -220 60 129 -220
4 16 -29 121 -220 -60 129 -220 -60 135 -220 -40 135 -220
4 16 60 129 -220 29 121 -220 40 135 -220 60 135 -220
4 16 -29 139 -220 -29 121 -220 -40 135 -220 -40 144 -220
4 16 40 144 -220 40 135 -220 29 121 -220 29 139 -220
4 16 29 139 -220 -29 139 -220 -40 144 -220 40 144 -220
4 16 -11 121 -220 -11 139 -220 -9 139 -220 -9 121 -220
4 16 9 121 -220 9 139 -220 11 139 -220 11 121 -220
4 16 -60 120 -220 -29 121 -220 29 121 -220 60 120 -220
4 16 -60 118.682 -200 -60 129 -200 -60 129 -220 -60 120 -220
4 16 60 129 -200 60 118.682 -200 60 120 -220 60 129 -220
0 // Edges
2 24 -40 144 -216 -40 144 -220
2 24 -40 144 -220 -40 135 -220
2 24 -40 135 -220 -40 135 -219
2 24 -40 136 -219 -40 136 -216
2 24 -40 136 -216 -76 136 -216
2 24 -40 135 -220 -60 135 -220
2 24 -60 120 -220 -60 129 -220
2 24 -60 118.682 -200 -60 120 -220
2 24 -57 144 -200 -80 144 -200
2 24 -80 144 -200 -80 135 -200
2 24 -79 136 -200 -76 136 -200
2 24 -76 136 -200 -76 136 -216
2 24 -57 130 -200 -57 130 -216
2 24 57 144 -200 80 144 -200
2 24 80 144 -200 80 135 -200
2 24 80 135 -200 79 135 -200
2 24 79 136 -200 76 136 -200
2 24 76 136 -200 76 136 -216
2 24 57 130 -216 57 130 -200
2 24 40 136 -216 76 136 -216
2 24 40 136 -219 40 136 -216
2 24 40 144 -220 40 144 -216
2 24 40 144 -220 40 135 -220
2 24 40 135 -220 40 135 -219
2 24 40 135 -220 60 135 -220
2 24 -40 144 -220 40 144 -220
2 24 -36 144 -216 36 144 -216
2 24 -29 144 -200 -28 144 -200
